      1 GO:0000002	mitochondrial genome maintenance
      1 GO:0090626	plant epidermis morphogenesis
      1 GO:0090627	plant epidermal cell differentiation
      1 GO:0090702	non-reproductive fruiting body development
      1 GO:0090734	site of DNA damage
      1 GO:0097006	regulation of plasma lipoprotein particle levels
      1 GO:0097327	response to antineoplastic agent
      1 GO:0097352	autophagosome maturation
      1 GO:0097435	supramolecular fiber organization
      1 GO:0097525	spliceosomal snRNP complex
      1 GO:0097576	vacuole fusion
      1 GO:0097617	annealing activity
      1 GO:0097746	regulation of blood vessel diameter
      1 GO:0097755	positive regulation of blood vessel diameter
      1 GO:0098589	membrane region
      1 GO:0098623	selenite reductase activity
      1 GO:0098625	methylselenol reductase activity
      1 GO:0098626	methylseleninic acid reductase activity
      1 GO:0098630	aggregation of unicellular organisms
      1 GO:0098655	cation transmembrane transport
      1 GO:0098660	inorganic ion transmembrane transport
      1 GO:0098661	inorganic anion transmembrane transport
      1 GO:0098687	chromosomal region
      1 GO:0098722	asymmetric stem cell division
      1 GO:0098727	maintenance of cell number
      1 GO:0098728	germline stem cell asymmetric division
      1 GO:0098743	cell aggregation
      1 GO:0098771	inorganic ion homeostasis
      1 GO:0098857	membrane microdomain
      1 GO:0099023	vesicle tethering complex
      1 GO:0099080	supramolecular complex
      1 GO:0099081	supramolecular polymer
      1 GO:0099086	synaptonemal structure
      1 GO:0099120	socially cooperative development
      1 GO:0099503	secretory vesicle
      1 GO:0099512	supramolecular fiber
      1 GO:0101005	ubiquitinyl hydrolase activity
      1 GO:0101031	chaperone complex
      1 GO:0120033	negative regulation of plasma membrane bounded cell projection assembly
      1 GO:0120034	positive regulation of plasma membrane bounded cell projection assembly
      1 GO:0120114	Sm-like protein family complex
      1 GO:0140033	acetylation-dependent protein binding
      1 GO:0140097	catalytic activity, acting on DNA
      1 GO:0140101	catalytic activity, acting on a tRNA
      1 GO:0140102	catalytic activity, acting on a rRNA
      1 GO:1900055	regulation of leaf senescence
      1 GO:1900057	positive regulation of leaf senescence
      1 GO:1900101	regulation of endoplasmic reticulum unfolded protein response
      1 GO:1900102	negative regulation of endoplasmic reticulum unfolded protein response
      1 GO:1900371	regulation of purine nucleotide biosynthetic process
      1 GO:1900373	positive regulation of purine nucleotide biosynthetic process
      1 GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms
      1 GO:1900460	obsolete negative regulation of invasive growth in response to glucose limitation by negative regulation of transcription from RNA polymerase II promoter
      1 GO:1900462	obsolete negative regulation of pseudohyphal growth by negative regulation of transcription from RNA polymerase II promoter
      1 GO:1900544	positive regulation of purine nucleotide metabolic process
      1 GO:1901136	carbohydrate derivative catabolic process
      1 GO:1901264	carbohydrate derivative transport
      1 GO:1901342	regulation of vasculature development
      1 GO:1901607	alpha-amino acid biosynthetic process
      1 GO:1901617	organic hydroxy compound biosynthetic process
      1 GO:1901652	response to peptide
      1 GO:1901653	cellular response to peptide
      1 GO:1901679	nucleotide transmembrane transport
      1 GO:1901699	cellular response to nitrogen compound
      1 GO:1901798	positive regulation of signal transduction by p53 class mediator
      1 GO:1901800	positive regulation of proteasomal protein catabolic process
      1 GO:1901976	regulation of cell cycle checkpoint
      1 GO:1901981	phosphatidylinositol phosphate binding
      1 GO:1901983	regulation of protein acetylation
      1 GO:1901985	positive regulation of protein acetylation
      1 GO:1901987	regulation of cell cycle phase transition
      1 GO:1901988	negative regulation of cell cycle phase transition
      1 GO:1901990	regulation of mitotic cell cycle phase transition
      1 GO:1901991	negative regulation of mitotic cell cycle phase transition
      1 GO:1902017	regulation of cilium assembly
      1 GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors
      1 GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
      1 GO:1902047	polyamine transmembrane transport
      1 GO:1902117	positive regulation of organelle assembly
      1 GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:1902275	regulation of chromatin organization
      1 GO:1902410	mitotic cytokinetic process
      1 GO:1902475	L-alpha-amino acid transmembrane transport
      1 GO:1902476	chloride transmembrane transport
      1 GO:1902494	catalytic complex
      1 GO:1902532	negative regulation of intracellular signal transduction
      1 GO:1902652	secondary alcohol metabolic process
      1 GO:1902653	secondary alcohol biosynthetic process
      1 GO:1902806	regulation of cell cycle G1/S phase transition
      1 GO:1902807	negative regulation of cell cycle G1/S phase transition
      1 GO:1902850	microtubule cytoskeleton organization involved in mitosis
      1 GO:1902936	phosphatidylinositol bisphosphate binding
      1 GO:1903003	positive regulation of protein deubiquitination
      1 GO:1903004	regulation of protein K63-linked deubiquitination
      1 GO:1903006	positive regulation of protein K63-linked deubiquitination
      1 GO:1903007	positive regulation of Lys63-specific deubiquitinase activity
      1 GO:1903008	organelle disassembly
      1 GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding
      1 GO:1903026	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding
      1 GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process
      1 GO:1903305	regulation of regulated secretory pathway
      1 GO:1903306	negative regulation of regulated secretory pathway
      1 GO:1903321	negative regulation of protein modification by small protein conjugation or removal
      1 GO:1903322	positive regulation of protein modification by small protein conjugation or removal
      1 GO:1903338	regulation of cell wall organization or biogenesis
      1 GO:1903341	regulation of meiotic DNA double-strand break formation
      1 GO:1903342	negative regulation of meiotic DNA double-strand break formation
      1 GO:1903364	positive regulation of cellular protein catabolic process
      1 GO:1903409	reactive oxygen species biosynthetic process
      1 GO:1903426	regulation of reactive oxygen species biosynthetic process
      1 GO:1903509	liposaccharide metabolic process
      1 GO:1903531	negative regulation of secretion by cell
      1 GO:1903532	positive regulation of secretion by cell
      1 GO:1903573	negative regulation of response to endoplasmic reticulum stress
      1 GO:1903580	positive regulation of ATP metabolic process
      1 GO:1903587	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
      1 GO:1903589	positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
      1 GO:1903649	regulation of cytoplasmic transport
      1 GO:1903650	negative regulation of cytoplasmic transport
      1 GO:1903651	positive regulation of cytoplasmic transport
      1 GO:1903670	regulation of sprouting angiogenesis
      1 GO:1903672	positive regulation of sprouting angiogenesis
      1 GO:1903715	regulation of aerobic respiration
      1 GO:1903825	organic acid transmembrane transport
      1 GO:1903862	positive regulation of oxidative phosphorylation
      1 GO:1903894	regulation of IRE1-mediated unfolded protein response
      1 GO:1903895	negative regulation of IRE1-mediated unfolded protein response
      1 GO:1903900	regulation of viral life cycle
      1 GO:1903901	negative regulation of viral life cycle
      1 GO:1904018	positive regulation of vasculature development
      1 GO:1904035	regulation of epithelial cell apoptotic process
      1 GO:1904036	negative regulation of epithelial cell apoptotic process
      1 GO:1904288	BAT3 complex binding
      1 GO:1904569	regulation of selenocysteine incorporation
      1 GO:1904571	positive regulation of selenocysteine incorporation
      1 GO:1904666	regulation of ubiquitin protein ligase activity
      1 GO:1904667	negative regulation of ubiquitin protein ligase activity
      1 GO:1904680	peptide transmembrane transporter activity
      1 GO:1904705	regulation of vascular associated smooth muscle cell proliferation
      1 GO:1904706	negative regulation of vascular associated smooth muscle cell proliferation
      1 GO:1904809	regulation of dense core granule transport
      1 GO:1904810	negative regulation of dense core granule transport
      1 GO:1904811	positive regulation of dense core granule transport
      1 GO:1904949	ATPase complex
      1 GO:1905039	carboxylic acid transmembrane transport
      1 GO:1905269	positive regulation of chromatin organization
      1 GO:1905368	peptidase complex
      1 GO:1905369	endopeptidase complex
      1 GO:1905393	plant organ formation
      1 GO:1905499	trichome papilla formation
      1 GO:1905623	positive regulation of leaf development
      1 GO:1905897	regulation of response to endoplasmic reticulum stress
      1 GO:1990023	mitotic spindle midzone
      1 GO:1990167	protein K27-linked deubiquitination
      1 GO:1990168	protein K33-linked deubiquitination
      1 GO:1990314	cellular response to insulin-like growth factor stimulus
      1 GO:1990381	ubiquitin-specific protease binding
      1 GO:1990385	meiotic spindle midzone
      1 GO:1990519	pyrimidine nucleotide import into mitochondrion
      1 GO:1990533	Dom34-Hbs1 complex
      1 GO:1990542	mitochondrial transmembrane transport
      1 GO:1990730	VCP-NSFL1C complex
      1 GO:1990745	EARP complex
      1 GO:1990823	response to leukemia inhibitory factor
      1 GO:1990830	cellular response to leukemia inhibitory factor
      1 GO:1990837	sequence-specific double-stranded DNA binding
      1 GO:1990948	ubiquitin ligase inhibitor activity
      1 GO:2000001	regulation of DNA damage checkpoint
      1 GO:2000024	regulation of leaf development
      1 GO:2000045	regulation of G1/S transition of mitotic cell cycle
      1 GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process
      1 GO:2000116	regulation of cysteine-type endopeptidase activity
      1 GO:2000134	negative regulation of G1/S transition of mitotic cell cycle
      1 GO:2000145	regulation of cell motility
      1 GO:2000146	negative regulation of cell motility
      1 GO:2000147	positive regulation of cell motility
      1 GO:2000152	regulation of ubiquitin-specific protease activity
      1 GO:2000158	positive regulation of ubiquitin-specific protease activity
      1 GO:2000218	negative regulation of invasive growth in response to glucose limitation
      1 GO:2000220	regulation of pseudohyphal growth
      1 GO:2000221	negative regulation of pseudohyphal growth
      1 GO:2000242	negative regulation of reproductive process
      1 GO:2000243	positive regulation of reproductive process
      1 GO:2000377	regulation of reactive oxygen species metabolic process
      1 GO:2000434	regulation of protein neddylation
      1 GO:2000435	negative regulation of protein neddylation
      1 GO:2000531	obsolete regulation of fatty acid biosynthetic process by regulation of transcription from RNA polymerase II promoter
      1 GO:2000677	regulation of transcription regulatory region DNA binding
      1 GO:2000678	negative regulation of transcription regulatory region DNA binding
      1 GO:2000756	regulation of peptidyl-lysine acetylation
      1 GO:2000758	positive regulation of peptidyl-lysine acetylation
      1 GO:2000769	regulation of establishment or maintenance of cell polarity regulating cell shape
      1 GO:2000877	negative regulation of oligopeptide transport
      1 GO:2000879	negative regulation of dipeptide transport
      1 GO:2001056	positive regulation of cysteine-type endopeptidase activity
      1 GO:2001169	regulation of ATP biosynthetic process
      1 GO:2001171	positive regulation of ATP biosynthetic process
      1 GO:2001234	negative regulation of apoptotic signaling pathway
      1 GO:2001235	positive regulation of apoptotic signaling pathway
      1 GO:2001236	regulation of extrinsic apoptotic signaling pathway
      1 GO:2001237	negative regulation of extrinsic apoptotic signaling pathway
      1 GO:2001242	regulation of intrinsic apoptotic signaling pathway
      1 GO:2001244	positive regulation of intrinsic apoptotic signaling pathway
      1 GO:2001252	positive regulation of chromosome organization
      2 GO:0000070	mitotic sister chromatid segregation
      2 GO:0000122	negative regulation of transcription by RNA polymerase II
      2 GO:0000139	Golgi membrane
      2 GO:0000165	MAPK cascade
      2 GO:0000187	activation of MAPK activity
      2 GO:0000212	meiotic spindle organization
      2 GO:0000305	response to oxygen radical
      2 GO:0000322	storage vacuole
      2 GO:0000324	fungal-type vacuole
      2 GO:0000375	RNA splicing, via transesterification reactions
      2 GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
      2 GO:0000790	nuclear chromatin
      2 GO:0000793	condensed chromosome
      2 GO:0000794	condensed nuclear chromosome
      2 GO:0000819	sister chromatid segregation
      2 GO:0000959	mitochondrial RNA metabolic process
      2 GO:0001067	regulatory region nucleic acid binding
      2 GO:0001558	regulation of cell growth
      2 GO:0001650	fibrillar center
      2 GO:0001667	ameboidal-type cell migration
      2 GO:0001775	cell activation
      2 GO:0001936	regulation of endothelial cell proliferation
      2 GO:0002009	morphogenesis of an epithelium
      2 GO:0002082	regulation of oxidative phosphorylation
      2 GO:0002165	instar larval or pupal development
      2 GO:0002218	activation of innate immune response
      2 GO:0002221	pattern recognition receptor signaling pathway
      2 GO:0002224	toll-like receptor signaling pathway
      2 GO:0002237	response to molecule of bacterial origin
      2 GO:0002253	activation of immune response
      2 GO:0002683	negative regulation of immune system process
      2 GO:0002757	immune response-activating signal transduction
      2 GO:0002758	innate immune response-activating signal transduction
      2 GO:0002764	immune response-regulating signaling pathway
      2 GO:0003700	DNA-binding transcription factor activity
      2 GO:0003712	transcription coregulator activity
      2 GO:0003713	transcription coactivator activity
      2 GO:0003724	RNA helicase activity
      2 GO:0004386	helicase activity
      2 GO:0004519	endonuclease activity
      2 GO:0004521	endoribonuclease activity
      2 GO:0004540	ribonuclease activity
      2 GO:0005524	ATP binding
      2 GO:0005743	mitochondrial inner membrane
      2 GO:0005758	mitochondrial intermembrane space
      2 GO:0005764	lysosome
      2 GO:0005765	lysosomal membrane
      2 GO:0005770	late endosome
      2 GO:0005802	trans-Golgi network
      2 GO:0005887	integral component of plasma membrane
      2 GO:0005975	carbohydrate metabolic process
      2 GO:0006091	generation of precursor metabolites and energy
      2 GO:0006140	regulation of nucleotide metabolic process
      2 GO:0006260	DNA replication
      2 GO:0006281	DNA repair
      2 GO:0006351	transcription, DNA-templated
      2 GO:0006390	mitochondrial transcription
      2 GO:0006397	mRNA processing
      2 GO:0006479	protein methylation
      2 GO:0006575	cellular modified amino acid metabolic process
      2 GO:0006644	phospholipid metabolic process
      2 GO:0006690	icosanoid metabolic process
      2 GO:0006691	leukotriene metabolic process
      2 GO:0006733	obsolete oxidoreduction coenzyme metabolic process
      2 GO:0006801	superoxide metabolic process
      2 GO:0006820	anion transport
      2 GO:0006907	pinocytosis
      2 GO:0006913	nucleocytoplasmic transport
      2 GO:0006915	apoptotic process
      2 GO:0006970	response to osmotic stress
      2 GO:0006986	response to unfolded protein
      2 GO:0007041	lysosomal transport
      2 GO:0007059	chromosome segregation
      2 GO:0007127	meiosis I
      2 GO:0007140	male meiotic nuclear division
      2 GO:0007163	establishment or maintenance of cell polarity
      2 GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway
      2 GO:0007264	small GTPase mediated signal transduction
      2 GO:0007346	regulation of mitotic cell cycle
      2 GO:0007369	gastrulation
      2 GO:0007409	axonogenesis
      2 GO:0007411	axon guidance
      2 GO:0007417	central nervous system development
      2 GO:0007420	brain development
      2 GO:0007444	imaginal disc development
      2 GO:0007472	wing disc morphogenesis
      2 GO:0007476	imaginal disc-derived wing morphogenesis
      2 GO:0007528	neuromuscular junction development
      2 GO:0007552	metamorphosis
      2 GO:0007560	imaginal disc morphogenesis
      2 GO:0007584	response to nutrient
      2 GO:0008088	axo-dendritic transport
      2 GO:0008134	transcription factor binding
      2 GO:0008186	RNA-dependent ATPase activity
      2 GO:0008213	protein alkylation
      2 GO:0008219	cell death
      2 GO:0008284	positive regulation of cell population proliferation
      2 GO:0008356	asymmetric cell division
      2 GO:0008360	regulation of cell shape
      2 GO:0008380	RNA splicing
      2 GO:0008509	anion transmembrane transporter activity
      2 GO:0008610	lipid biosynthetic process
      2 GO:0009141	nucleoside triphosphate metabolic process
      2 GO:0009144	purine nucleoside triphosphate metabolic process
      2 GO:0009187	cyclic nucleotide metabolic process
      2 GO:0009190	cyclic nucleotide biosynthetic process
      2 GO:0009314	response to radiation
      2 GO:0009408	response to heat
      2 GO:0009416	response to light stimulus
      2 GO:0009451	RNA modification
      2 GO:0009526	plastid envelope
      2 GO:0009620	response to fungus
      2 GO:0009651	response to salt stress
      2 GO:0009668	plastid membrane organization
      2 GO:0009737	response to abscisic acid
      2 GO:0009886	post-embryonic animal morphogenesis
      2 GO:0009908	flower development
      2 GO:0009941	chloroplast envelope
      2 GO:0009975	cyclase activity
      2 GO:0010015	root morphogenesis
      2 GO:0010027	thylakoid membrane organization
      2 GO:0010032	meiotic chromosome condensation
      2 GO:0010154	fruit development
      2 GO:0010171	body morphogenesis
      2 GO:0010256	endomembrane system organization
      2 GO:0010501	RNA secondary structure unwinding
      2 GO:0010507	negative regulation of autophagy
      2 GO:0010508	positive regulation of autophagy
      2 GO:0010570	regulation of filamentous growth
      2 GO:0010638	positive regulation of organelle organization
      2 GO:0010721	negative regulation of cell development
      2 GO:0010769	regulation of cell morphogenesis involved in differentiation
      2 GO:0010771	negative regulation of cell morphogenesis involved in differentiation
      2 GO:0010817	regulation of hormone levels
      2 GO:0010970	transport along microtubule
      2 GO:0010975	regulation of neuron projection development
      2 GO:0010977	negative regulation of neuron projection development
      2 GO:0012501	programmed cell death
      2 GO:0015036	disulfide oxidoreductase activity
      2 GO:0015291	secondary active transmembrane transporter activity
      2 GO:0015318	inorganic molecular entity transmembrane transporter activity
      2 GO:0015695	organic cation transport
      2 GO:0015696	ammonium transport
      2 GO:0015931	nucleobase-containing compound transport
      2 GO:0015935	small ribosomal subunit
      2 GO:0016174	NAD(P)H oxidase H2O2-forming activity
      2 GO:0016239	positive regulation of macroautophagy
      2 GO:0016458	gene silencing
      2 GO:0016571	histone methylation
      2 GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
      2 GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
      2 GO:0016651	oxidoreductase activity, acting on NAD(P)H
      2 GO:0016849	phosphorus-oxygen lyase activity
      2 GO:0017001	antibiotic catabolic process
      2 GO:0017076	purine nucleotide binding
      2 GO:0018022	peptidyl-lysine methylation
      2 GO:0018205	peptidyl-lysine modification
      2 GO:0018996	molting cycle, collagen and cuticulin-based cuticle
      2 GO:0019216	regulation of lipid metabolic process
      2 GO:0019221	cytokine-mediated signaling pathway
      2 GO:0019362	pyridine nucleotide metabolic process
      2 GO:0019867	outer membrane
      2 GO:0019904	protein domain specific binding
      2 GO:0020037	heme binding
      2 GO:0022404	molting cycle process
      2 GO:0022618	ribonucleoprotein complex assembly
      2 GO:0022627	cytosolic small ribosomal subunit
      2 GO:0023014	signal transduction by protein phosphorylation
      2 GO:0030010	establishment of cell polarity
      2 GO:0030036	actin cytoskeleton organization
      2 GO:0030100	regulation of endocytosis
      2 GO:0030145	manganese ion binding
      2 GO:0030261	chromosome condensation
      2 GO:0030427	site of polarized growth
      2 GO:0030554	adenyl nucleotide binding
      2 GO:0030687	preribosome, large subunit precursor
      2 GO:0030695	GTPase regulator activity
      2 GO:0030705	cytoskeleton-dependent intracellular transport
      2 GO:0030855	epithelial cell differentiation
      2 GO:0030968	endoplasmic reticulum unfolded protein response
      2 GO:0030970	retrograde protein transport, ER to cytosol
      2 GO:0031226	intrinsic component of plasma membrane
      2 GO:0031300	intrinsic component of organelle membrane
      2 GO:0031594	neuromuscular junction
      2 GO:0031670	cellular response to nutrient
      2 GO:0031902	late endosome membrane
      2 GO:0031968	organelle outer membrane
      2 GO:0031970	organelle envelope lumen
      2 GO:0032386	regulation of intracellular transport
      2 GO:0032387	negative regulation of intracellular transport
      2 GO:0032418	lysosome localization
      2 GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process
      2 GO:0032496	response to lipopolysaccharide
      2 GO:0032527	protein exit from endoplasmic reticulum
      2 GO:0032553	ribonucleotide binding
      2 GO:0032555	purine ribonucleotide binding
      2 GO:0032559	adenyl ribonucleotide binding
      2 GO:0032675	regulation of interleukin-6 production
      2 GO:0032680	regulation of tumor necrosis factor production
      2 GO:0032774	RNA biosynthetic process
      2 GO:0032870	cellular response to hormone stimulus
      2 GO:0032940	secretion by cell
      2 GO:0033865	nucleoside bisphosphate metabolic process
      2 GO:0033875	ribonucleoside bisphosphate metabolic process
      2 GO:0034032	purine nucleoside bisphosphate metabolic process
      2 GO:0034504	protein localization to nucleus
      2 GO:0034614	cellular response to reactive oxygen species
      2 GO:0034620	cellular response to unfolded protein
      2 GO:0034968	histone lysine methylation
      2 GO:0035107	appendage morphogenesis
      2 GO:0035114	imaginal disc-derived appendage morphogenesis
      2 GO:0035120	post-embryonic appendage morphogenesis
      2 GO:0035220	wing disc development
      2 GO:0035639	purine ribonucleoside triphosphate binding
      2 GO:0035690	cellular response to drug
      2 GO:0035924	cellular response to vascular endothelial growth factor stimulus
      2 GO:0036465	synaptic vesicle recycling
      2 GO:0040017	positive regulation of locomotion
      2 GO:0042177	negative regulation of protein catabolic process
      2 GO:0042303	molting cycle
      2 GO:0042391	regulation of membrane potential
      2 GO:0042393	histone binding
      2 GO:0042546	cell wall biogenesis
      2 GO:0042578	phosphoric ester hydrolase activity
      2 GO:0042726	flavin-containing compound metabolic process
      2 GO:0042737	drug catabolic process
      2 GO:0042744	hydrogen peroxide catabolic process
      2 GO:0043022	ribosome binding
      2 GO:0043066	negative regulation of apoptotic process
      2 GO:0043069	negative regulation of programmed cell death
      2 GO:0043195	terminal bouton
      2 GO:0043198	dendritic shaft
      2 GO:0043392	negative regulation of DNA binding
      2 GO:0043405	regulation of MAP kinase activity
      2 GO:0043406	positive regulation of MAP kinase activity
      2 GO:0043408	regulation of MAPK cascade
      2 GO:0043410	positive regulation of MAPK cascade
      2 GO:0043433	negative regulation of DNA-binding transcription factor activity
      2 GO:0043487	regulation of RNA stability
      2 GO:0043488	regulation of mRNA stability
      2 GO:0043489	RNA stabilization
      2 GO:0043624	cellular protein complex disassembly
      2 GO:0043679	axon terminus
      2 GO:0043900	regulation of multi-organism process
      2 GO:0043901	negative regulation of multi-organism process
      2 GO:0044088	regulation of vacuole organization
      2 GO:0044089	positive regulation of cellular component biogenesis
      2 GO:0044306	neuron projection terminus
      2 GO:0044351	macropinocytosis
      2 GO:0044451	obsolete nucleoplasm part
      2 GO:0044452	obsolete nucleolar part
      2 GO:0044456	obsolete synapse part
      2 GO:0045089	positive regulation of innate immune response
      2 GO:0045132	meiotic chromosome segregation
      2 GO:0045177	apical part of cell
      2 GO:0045202	synapse
      2 GO:0045321	leukocyte activation
      2 GO:0045454	cell redox homeostasis
      2 GO:0045595	regulation of cell differentiation
      2 GO:0045596	negative regulation of cell differentiation
      2 GO:0045664	regulation of neuron differentiation
      2 GO:0045665	negative regulation of neuron differentiation
      2 GO:0045861	negative regulation of proteolysis
      2 GO:0045926	negative regulation of growth
      2 GO:0046496	nicotinamide nucleotide metabolic process
      2 GO:0046686	response to cadmium ion
      2 GO:0046903	secretion
      2 GO:0046906	tetrapyrrole binding
      2 GO:0048010	vascular endothelial growth factor receptor signaling pathway
      2 GO:0048193	Golgi vesicle transport
      2 GO:0048232	male gamete generation
      2 GO:0048255	mRNA stabilization
      2 GO:0048312	intracellular distribution of mitochondria
      2 GO:0048316	seed development
      2 GO:0048367	shoot system development
      2 GO:0048477	oogenesis
      2 GO:0048488	synaptic vesicle endocytosis
      2 GO:0048489	synaptic vesicle transport
      2 GO:0048563	post-embryonic animal organ morphogenesis
      2 GO:0048569	post-embryonic animal organ development
      2 GO:0048598	embryonic morphogenesis
      2 GO:0048667	cell morphogenesis involved in neuron differentiation
      2 GO:0048675	axon extension
      2 GO:0048707	instar larval or pupal morphogenesis
      2 GO:0048736	appendage development
      2 GO:0048737	imaginal disc-derived appendage development
      2 GO:0048814	regulation of dendrite morphogenesis
      2 GO:0048831	regulation of shoot system development
      2 GO:0048846	axon extension involved in axon guidance
      2 GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
      2 GO:0050678	regulation of epithelial cell proliferation
      2 GO:0050767	regulation of neurogenesis
      2 GO:0050768	negative regulation of neurogenesis
      2 GO:0050773	regulation of dendrite development
      2 GO:0050774	negative regulation of dendrite morphogenesis
      2 GO:0050777	negative regulation of immune response
      2 GO:0050778	positive regulation of immune response
      2 GO:0050803	regulation of synapse structure or activity
      2 GO:0050807	regulation of synapse organization
      2 GO:0050808	synapse organization
      2 GO:0050832	defense response to fungus
      2 GO:0050900	leukocyte migration
      2 GO:0051019	mitogen-activated protein kinase binding
      2 GO:0051046	regulation of secretion
      2 GO:0051090	regulation of DNA-binding transcription factor activity
      2 GO:0051100	negative regulation of binding
      2 GO:0051101	regulation of DNA binding
      2 GO:0051169	nuclear transport
      2 GO:0051188	obsolete cofactor biosynthetic process
      2 GO:0051260	protein homooligomerization
      2 GO:0051336	regulation of hydrolase activity
      2 GO:0051345	positive regulation of hydrolase activity
      2 GO:0051645	Golgi localization
      2 GO:0051648	vesicle localization
      2 GO:0051650	establishment of vesicle localization
      2 GO:0051683	establishment of Golgi localization
      2 GO:0051817	modulation of process of other organism involved in symbiotic interaction
      2 GO:0051881	regulation of mitochondrial membrane potential
      2 GO:0051960	regulation of nervous system development
      2 GO:0051961	negative regulation of nervous system development
      2 GO:0052652	cyclic purine nucleotide metabolic process
      2 GO:0055082	cellular chemical homeostasis
      2 GO:0055088	lipid homeostasis
      2 GO:0060284	regulation of cell development
      2 GO:0060491	regulation of cell projection assembly
      2 GO:0060562	epithelial tube morphogenesis
      2 GO:0060589	nucleoside-triphosphatase regulator activity
      2 GO:0061013	regulation of mRNA catabolic process
      2 GO:0061174	type I terminal bouton
      2 GO:0061564	axon development
      2 GO:0061845	neuron projection branch point
      2 GO:0061982	meiosis I cell cycle process
      2 GO:0070035	obsolete purine NTP-dependent helicase activity
      2 GO:0070192	chromosome organization involved in meiotic cell cycle
      2 GO:0070482	response to oxygen levels
      2 GO:0070647	protein modification by small protein conjugation or removal
      2 GO:0070784	regulation of growth of unicellular organism as a thread of attached cells
      2 GO:0070848	response to growth factor
      2 GO:0070925	organelle assembly
      2 GO:0070935	3'-UTR-mediated mRNA stabilization
      2 GO:0071212	subsynaptic reticulum
      2 GO:0071214	cellular response to abiotic stimulus
      2 GO:0071248	cellular response to metal ion
      2 GO:0071363	cellular response to growth factor stimulus
      2 GO:0071453	cellular response to oxygen levels
      2 GO:0071495	cellular response to endogenous stimulus
      2 GO:0071554	cell wall organization or biogenesis
      2 GO:0072387	flavin adenine dinucleotide metabolic process
      2 GO:0072524	pyridine-containing compound metabolic process
      2 GO:0090087	regulation of peptide transport
      2 GO:0090128	regulation of synapse maturation
      2 GO:0090501	RNA phosphodiester bond hydrolysis
      2 GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic
      2 GO:0090558	plant epidermis development
      2 GO:0090567	reproductive shoot system development
      2 GO:0090696	post-embryonic plant organ development
      2 GO:0090697	post-embryonic plant organ morphogenesis
      2 GO:0090698	post-embryonic plant morphogenesis
      2 GO:0097190	apoptotic signaling pathway
      2 GO:0097193	intrinsic apoptotic signaling pathway
      2 GO:0097305	response to alcohol
      2 GO:0097367	carbohydrate derivative binding
      2 GO:0097479	synaptic vesicle localization
      2 GO:0097480	establishment of synaptic vesicle localization
      2 GO:0097485	neuron projection guidance
      2 GO:0097659	nucleic acid-templated transcription
      2 GO:0098552	side of membrane
      2 GO:0098554	cytoplasmic side of endoplasmic reticulum membrane
      2 GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane
      2 GO:0098562	cytoplasmic side of membrane
      2 GO:0098590	plasma membrane region
      2 GO:0098656	anion transmembrane transport
      2 GO:0098693	regulation of synaptic vesicle cycle
      2 GO:0098793	presynapse
      2 GO:0098796	membrane protein complex
      2 GO:0098813	nuclear chromosome segregation
      2 GO:0099003	vesicle-mediated transport in synapse
      2 GO:0099111	microtubule-based transport
      2 GO:0099174	regulation of presynapse organization
      2 GO:0099504	synaptic vesicle cycle
      2 GO:0104004	cellular response to environmental stimulus
      2 GO:0120032	regulation of plasma membrane bounded cell projection assembly
      2 GO:0140014	mitotic nuclear division
      2 GO:0140030	modification-dependent protein binding
      2 GO:0140053	mitochondrial gene expression
      2 GO:1900034	regulation of cellular response to heat
      2 GO:1900242	regulation of synaptic vesicle endocytosis
      2 GO:1900428	regulation of filamentous growth of a population of unicellular organisms
      2 GO:1900542	regulation of purine nucleotide metabolic process
      2 GO:1901568	fatty acid derivative metabolic process
      2 GO:1901605	alpha-amino acid metabolic process
      2 GO:1901615	organic hydroxy compound metabolic process
      2 GO:1901796	regulation of signal transduction by p53 class mediator
      2 GO:1901799	negative regulation of proteasomal protein catabolic process
      2 GO:1902284	neuron projection extension involved in neuron projection guidance
      2 GO:1902369	negative regulation of RNA catabolic process
      2 GO:1902373	negative regulation of mRNA catabolic process
      2 GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process
