      1 GO:0000018	regulation of DNA recombination
      1 GO:0061845	neuron projection branch point
      1 GO:0061857	endoplasmic reticulum stress-induced pre-emptive quality control
      1 GO:0061982	meiosis I cell cycle process
      1 GO:0062012	regulation of small molecule metabolic process
      1 GO:0062013	positive regulation of small molecule metabolic process
      1 GO:0070035	obsolete purine NTP-dependent helicase activity
      1 GO:0070076	histone lysine demethylation
      1 GO:0070192	chromosome organization involved in meiotic cell cycle
      1 GO:0070201	regulation of establishment of protein localization
      1 GO:0070301	cellular response to hydrogen peroxide
      1 GO:0070302	regulation of stress-activated protein kinase signaling cascade
      1 GO:0070304	positive regulation of stress-activated protein kinase signaling cascade
      1 GO:0070314	G1 to G0 transition
      1 GO:0070316	regulation of G0 to G1 transition
      1 GO:0070317	negative regulation of G0 to G1 transition
      1 GO:0070491	repressing transcription factor binding
      1 GO:0070507	regulation of microtubule cytoskeleton organization
      1 GO:0070577	lysine-acetylated histone binding
      1 GO:0070646	protein modification by small protein removal
      1 GO:0070671	response to interleukin-12
      1 GO:0070695	FHF complex
      1 GO:0070734	histone H3-K27 methylation
      1 GO:0070784	regulation of growth of unicellular organism as a thread of attached cells
      1 GO:0070785	negative regulation of growth of unicellular organism as a thread of attached cells
      1 GO:0070813	hydrogen sulfide metabolic process
      1 GO:0070814	hydrogen sulfide biosynthetic process
      1 GO:0070840	dynein complex binding
      1 GO:0070841	inclusion body assembly
      1 GO:0070842	aggresome assembly
      1 GO:0070848	response to growth factor
      1 GO:0070878	primary miRNA binding
      1 GO:0070989	oxidative demethylation
      1 GO:0071000	response to magnetism
      1 GO:0071166	ribonucleoprotein complex localization
      1 GO:0071168	protein localization to chromatin
      1 GO:0071212	subsynaptic reticulum
      1 GO:0071218	cellular response to misfolded protein
      1 GO:0071229	cellular response to acid chemical
      1 GO:0071243	cellular response to arsenic-containing substance
      1 GO:0071266	'de novo' L-methionine biosynthetic process
      1 GO:0071267	L-methionine salvage
      1 GO:0071276	cellular response to cadmium ion
      1 GO:0071349	cellular response to interleukin-12
      1 GO:0071361	cellular response to ethanol
      1 GO:0071363	cellular response to growth factor stimulus
      1 GO:0071369	cellular response to ethylene stimulus
      1 GO:0071395	cellular response to jasmonic acid stimulus
      1 GO:0071407	cellular response to organic cyclic compound
      1 GO:0071417	cellular response to organonitrogen compound
      1 GO:0071426	ribonucleoprotein complex export from nucleus
      1 GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus
      1 GO:0071450	cellular response to oxygen radical
      1 GO:0071451	cellular response to superoxide
      1 GO:0071453	cellular response to oxygen levels
      1 GO:0071456	cellular response to hypoxia
      1 GO:0071467	cellular response to pH
      1 GO:0071489	cellular response to red or far red light
      1 GO:0071539	protein localization to centrosome
      1 GO:0071554	cell wall organization or biogenesis
      1 GO:0071568	UFM1 transferase activity
      1 GO:0071569	protein ufmylation
      1 GO:0071616	acyl-CoA biosynthetic process
      1 GO:0071669	plant-type cell wall organization or biogenesis
      1 GO:0071684	organism emergence from protective structure
      1 GO:0071712	ER-associated misfolded protein catabolic process
      1 GO:0071731	response to nitric oxide
      1 GO:0071732	cellular response to nitric oxide
      1 GO:0071826	ribonucleoprotein complex subunit organization
      1 GO:0071897	DNA biosynthetic process
      1 GO:0071918	urea transmembrane transport
      1 GO:0071926	endocannabinoid signaling pathway
      1 GO:0071934	thiamine transmembrane transport
      1 GO:0071941	nitrogen cycle metabolic process
      1 GO:0071985	multivesicular body sorting pathway
      1 GO:0072089	stem cell proliferation
      1 GO:0072091	regulation of stem cell proliferation
      1 GO:0072329	monocarboxylic acid catabolic process
      1 GO:0072337	modified amino acid transport
      1 GO:0072347	response to anesthetic
      1 GO:0072349	modified amino acid transmembrane transporter activity
      1 GO:0072387	flavin adenine dinucleotide metabolic process
      1 GO:0072389	flavin adenine dinucleotide catabolic process
      1 GO:0072395	signal transduction involved in cell cycle checkpoint
      1 GO:0072401	signal transduction involved in DNA integrity checkpoint
      1 GO:0072422	signal transduction involved in DNA damage checkpoint
      1 GO:0072524	pyridine-containing compound metabolic process
      1 GO:0072528	pyrimidine-containing compound biosynthetic process
      1 GO:0072531	pyrimidine-containing compound transmembrane transport
      1 GO:0072698	protein localization to microtubule cytoskeleton
      1 GO:0072718	response to cisplatin
      1 GO:0072719	cellular response to cisplatin
      1 GO:0075136	response to host
      1 GO:0080022	primary root development
      1 GO:0080146	L-cysteine desulfhydrase activity
      1 GO:0080171	lytic vacuole organization
      1 GO:0089709	L-histidine transmembrane transport
      1 GO:0090049	regulation of cell migration involved in sprouting angiogenesis
      1 GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis
      1 GO:0090068	positive regulation of cell cycle process
      1 GO:0090069	regulation of ribosome biogenesis
      1 GO:0090070	positive regulation of ribosome biogenesis
      1 GO:0090085	regulation of protein deubiquitination
      1 GO:0090087	regulation of peptide transport
      1 GO:0090114	COPII-coated vesicle budding
      1 GO:0090128	regulation of synapse maturation
      1 GO:0090140	regulation of mitochondrial fission
      1 GO:0090156	cellular sphingolipid homeostasis
      1 GO:0090325	regulation of locomotion involved in locomotory behavior
      1 GO:0090326	positive regulation of locomotion involved in locomotory behavior
      1 GO:0090329	regulation of DNA-dependent DNA replication
      1 GO:0090406	pollen tube
      1 GO:0090409	malonyl-CoA synthetase activity
      1 GO:0090410	malonate catabolic process
      1 GO:0090422	thiamine pyrophosphate transmembrane transporter activity
      1 GO:0090482	vitamin transmembrane transporter activity
      1 GO:0090567	reproductive shoot system development
      1 GO:0090594	inflammatory response to wounding
      1 GO:0090596	sensory organ morphogenesis
      1 GO:0090698	post-embryonic plant morphogenesis
      1 GO:0090734	site of DNA damage
      1 GO:0097006	regulation of plasma lipoprotein particle levels
      1 GO:0097060	synaptic membrane
      1 GO:0097223	obsolete sperm part
      1 GO:0097228	sperm principal piece
      1 GO:0097305	response to alcohol
      1 GO:0097306	cellular response to alcohol
      1 GO:0097327	response to antineoplastic agent
      1 GO:0097352	autophagosome maturation
      1 GO:0097366	response to bronchodilator
      1 GO:0097435	supramolecular fiber organization
      1 GO:0097440	apical dendrite
      1 GO:0097441	basal dendrite
      1 GO:0097472	cyclin-dependent protein kinase activity
      1 GO:0097479	synaptic vesicle localization
      1 GO:0097480	establishment of synaptic vesicle localization
      1 GO:0097502	mannosylation
      1 GO:0097711	ciliary basal body-plasma membrane docking
      1 GO:0097729	9+2 motile cilium
      1 GO:0098532	histone H3-K27 trimethylation
      1 GO:0098552	side of membrane
      1 GO:0098554	cytoplasmic side of endoplasmic reticulum membrane
      1 GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane
      1 GO:0098562	cytoplasmic side of membrane
      1 GO:0098573	intrinsic component of mitochondrial membrane
      1 GO:0098589	membrane region
      1 GO:0098600	selenomethionine gamma-lyase activity
      1 GO:0098606	selenocystathionine gamma-lyase activity
      1 GO:0098607	methylselenocysteine deselenhydrase activity
      1 GO:0098630	aggregation of unicellular organisms
      1 GO:0098660	inorganic ion transmembrane transport
      1 GO:0098661	inorganic anion transmembrane transport
      1 GO:0098693	regulation of synaptic vesicle cycle
      1 GO:0098727	maintenance of cell number
      1 GO:0098743	cell aggregation
      1 GO:0098793	presynapse
      1 GO:0098794	postsynapse
      1 GO:0098798	mitochondrial protein complex
      1 GO:0098800	inner mitochondrial membrane protein complex
      1 GO:0098813	nuclear chromosome segregation
      1 GO:0098857	membrane microdomain
      1 GO:0098917	retrograde trans-synaptic signaling
      1 GO:0098920	retrograde trans-synaptic signaling by lipid
      1 GO:0098921	retrograde trans-synaptic signaling by endocannabinoid
      1 GO:0098927	vesicle-mediated transport between endosomal compartments
      1 GO:0099003	vesicle-mediated transport in synapse
      1 GO:0099023	vesicle tethering complex
      1 GO:0099111	microtubule-based transport
      1 GO:0099174	regulation of presynapse organization
      1 GO:0099504	synaptic vesicle cycle
      1 GO:0099536	synaptic signaling
      1 GO:0099537	trans-synaptic signaling
      1 GO:0099541	trans-synaptic signaling by lipid
      1 GO:0099542	trans-synaptic signaling by endocannabinoid
      1 GO:0099568	cytoplasmic region
      1 GO:0101005	ubiquitinyl hydrolase activity
      1 GO:0101031	chaperone complex
      1 GO:0120031	plasma membrane bounded cell projection assembly
      1 GO:0140013	meiotic nuclear division
      1 GO:0140029	exocytic process
      1 GO:0140033	acetylation-dependent protein binding
      1 GO:0140053	mitochondrial gene expression
      1 GO:0140103	catalytic activity, acting on a glycoprotein
      1 GO:0198738	cell-cell signaling by wnt
      1 GO:1900006	positive regulation of dendrite development
      1 GO:1900180	regulation of protein localization to nucleus
      1 GO:1900239	regulation of phenotypic switching
      1 GO:1900241	positive regulation of phenotypic switching
      1 GO:1900242	regulation of synaptic vesicle endocytosis
      1 GO:1900371	regulation of purine nucleotide biosynthetic process
      1 GO:1900373	positive regulation of purine nucleotide biosynthetic process
      1 GO:1900407	regulation of cellular response to oxidative stress
      1 GO:1900408	negative regulation of cellular response to oxidative stress
      1 GO:1900428	regulation of filamentous growth of a population of unicellular organisms
      1 GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms
      1 GO:1900460	obsolete negative regulation of invasive growth in response to glucose limitation by negative regulation of transcription from RNA polymerase II promoter
      1 GO:1900462	obsolete negative regulation of pseudohyphal growth by negative regulation of transcription from RNA polymerase II promoter
      1 GO:1900542	regulation of purine nucleotide metabolic process
      1 GO:1900544	positive regulation of purine nucleotide metabolic process
      1 GO:1901264	carbohydrate derivative transport
      1 GO:1901292	nucleoside phosphate catabolic process
      1 GO:1901570	fatty acid derivative biosynthetic process
      1 GO:1901606	alpha-amino acid catabolic process
      1 GO:1901659	glycosyl compound biosynthetic process
      1 GO:1901679	nucleotide transmembrane transport
      1 GO:1901798	positive regulation of signal transduction by p53 class mediator
      1 GO:1901799	negative regulation of proteasomal protein catabolic process
      1 GO:1901984	negative regulation of protein acetylation
      1 GO:1901985	positive regulation of protein acetylation
      1 GO:1901999	homogentisate metabolic process
      1 GO:1902000	homogentisate catabolic process
      1 GO:1902003	regulation of amyloid-beta formation
      1 GO:1902004	positive regulation of amyloid-beta formation
      1 GO:1902022	L-lysine transport
      1 GO:1902023	L-arginine transport
      1 GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors
      1 GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
      1 GO:1902047	polyamine transmembrane transport
      1 GO:1902065	response to L-glutamate
      1 GO:1902115	regulation of organelle assembly
      1 GO:1902170	cellular response to reactive nitrogen species
      1 GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
      1 GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
      1 GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:1902284	neuron projection extension involved in neuron projection guidance
      1 GO:1902476	chloride transmembrane transport
      1 GO:1902532	negative regulation of intracellular signal transduction
      1 GO:1902554	serine/threonine protein kinase complex
      1 GO:1902616	acyl carnitine transmembrane transport
      1 GO:1902692	regulation of neuroblast proliferation
      1 GO:1902882	regulation of response to oxidative stress
      1 GO:1902883	negative regulation of response to oxidative stress
      1 GO:1902904	negative regulation of supramolecular fiber organization
      1 GO:1902905	positive regulation of supramolecular fiber organization
      1 GO:1902911	protein kinase complex
      1 GO:1902991	regulation of amyloid precursor protein catabolic process
      1 GO:1902993	positive regulation of amyloid precursor protein catabolic process
      1 GO:1903003	positive regulation of protein deubiquitination
      1 GO:1903004	regulation of protein K63-linked deubiquitination
      1 GO:1903006	positive regulation of protein K63-linked deubiquitination
      1 GO:1903007	positive regulation of Lys63-specific deubiquitinase activity
      1 GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process
      1 GO:1903146	regulation of autophagy of mitochondrion
      1 GO:1903201	regulation of oxidative stress-induced cell death
      1 GO:1903202	negative regulation of oxidative stress-induced cell death
      1 GO:1903305	regulation of regulated secretory pathway
      1 GO:1903306	negative regulation of regulated secretory pathway
      1 GO:1903311	regulation of mRNA metabolic process
      1 GO:1903312	negative regulation of mRNA metabolic process
      1 GO:1903322	positive regulation of protein modification by small protein conjugation or removal
      1 GO:1903352	L-ornithine transmembrane transport
      1 GO:1903363	negative regulation of cellular protein catabolic process
      1 GO:1903400	L-arginine transmembrane transport
      1 GO:1903401	L-lysine transmembrane transport
      1 GO:1903421	regulation of synaptic vesicle recycling
      1 GO:1903426	regulation of reactive oxygen species biosynthetic process
      1 GO:1903428	positive regulation of reactive oxygen species biosynthetic process
      1 GO:1903509	liposaccharide metabolic process
      1 GO:1903513	endoplasmic reticulum to cytosol transport
      1 GO:1903531	negative regulation of secretion by cell
      1 GO:1903576	response to L-arginine
      1 GO:1903578	regulation of ATP metabolic process
      1 GO:1903580	positive regulation of ATP metabolic process
      1 GO:1903587	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
      1 GO:1903589	positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
      1 GO:1903649	regulation of cytoplasmic transport
      1 GO:1903650	negative regulation of cytoplasmic transport
      1 GO:1903651	positive regulation of cytoplasmic transport
      1 GO:1903670	regulation of sprouting angiogenesis
      1 GO:1903672	positive regulation of sprouting angiogenesis
      1 GO:1903711	spermidine transmembrane transport
      1 GO:1903715	regulation of aerobic respiration
      1 GO:1903826	arginine transmembrane transport
      1 GO:1903827	regulation of cellular protein localization
      1 GO:1903862	positive regulation of oxidative phosphorylation
      1 GO:1903900	regulation of viral life cycle
      1 GO:1903901	negative regulation of viral life cycle
      1 GO:1904035	regulation of epithelial cell apoptotic process
      1 GO:1904036	negative regulation of epithelial cell apoptotic process
      1 GO:1904288	BAT3 complex binding
      1 GO:1904338	regulation of dopaminergic neuron differentiation
      1 GO:1904340	positive regulation of dopaminergic neuron differentiation
      1 GO:1904407	positive regulation of nitric oxide metabolic process
      1 GO:1904569	regulation of selenocysteine incorporation
      1 GO:1904571	positive regulation of selenocysteine incorporation
      1 GO:1904589	regulation of protein import
      1 GO:1904666	regulation of ubiquitin protein ligase activity
      1 GO:1904667	negative regulation of ubiquitin protein ligase activity
      1 GO:1904772	response to tetrachloromethane
      1 GO:1904809	regulation of dense core granule transport
      1 GO:1904810	negative regulation of dense core granule transport
      1 GO:1904811	positive regulation of dense core granule transport
      1 GO:1904829	regulation of aortic smooth muscle cell differentiation
      1 GO:1904831	positive regulation of aortic smooth muscle cell differentiation
      1 GO:1904949	ATPase complex
      1 GO:1904956	regulation of midbrain dopaminergic neuron differentiation
      1 GO:1904958	positive regulation of midbrain dopaminergic neuron differentiation
      1 GO:1905037	autophagosome organization
      1 GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling
      1 GO:1905177	tracheary element differentiation
      1 GO:1905268	negative regulation of chromatin organization
      1 GO:1905368	peptidase complex
      1 GO:1905369	endopeptidase complex
      1 GO:1905392	plant organ morphogenesis
      1 GO:1905424	regulation of Wnt-mediated midbrain dopaminergic neuron differentiation
      1 GO:1905426	positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation
      1 GO:1905459	regulation of vascular associated smooth muscle cell apoptotic process
      1 GO:1905461	positive regulation of vascular associated smooth muscle cell apoptotic process
      1 GO:1905499	trichome papilla formation
      1 GO:1905508	protein localization to microtubule organizing center
      1 GO:1905515	non-motile cilium assembly
      1 GO:1905915	regulation of cell differentiation involved in phenotypic switching
      1 GO:1905917	positive regulation of cell differentiation involved in phenotypic switching
      1 GO:1905930	regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching
      1 GO:1905932	positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching
      1 GO:1905952	regulation of lipid localization
      1 GO:1990033	dendritic branch point
      1 GO:1990089	response to nerve growth factor
      1 GO:1990090	cellular response to nerve growth factor stimulus
      1 GO:1990138	neuron projection extension
      1 GO:1990167	protein K27-linked deubiquitination
      1 GO:1990168	protein K33-linked deubiquitination
      1 GO:1990381	ubiquitin-specific protease binding
      1 GO:1990545	mitochondrial thiamine pyrophosphate transmembrane transport
      1 GO:1990564	protein polyufmylation
      1 GO:1990575	mitochondrial L-ornithine transmembrane transport
      1 GO:1990592	protein K69-linked ufmylation
      1 GO:1990730	VCP-NSFL1C complex
      1 GO:1990745	EARP complex
      1 GO:1990822	basic amino acid transmembrane transport
      1 GO:1990823	response to leukemia inhibitory factor
      1 GO:1990830	cellular response to leukemia inhibitory factor
      1 GO:1990841	promoter-specific chromatin binding
      1 GO:1990948	ubiquitin ligase inhibitor activity
      1 GO:2000037	regulation of stomatal complex patterning
      1 GO:2000050	regulation of non-canonical Wnt signaling pathway
      1 GO:2000052	positive regulation of non-canonical Wnt signaling pathway
      1 GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process
      1 GO:2000116	regulation of cysteine-type endopeptidase activity
      1 GO:2000146	negative regulation of cell motility
      1 GO:2000152	regulation of ubiquitin-specific protease activity
      1 GO:2000158	positive regulation of ubiquitin-specific protease activity
      1 GO:2000171	negative regulation of dendrite development
      1 GO:2000177	regulation of neural precursor cell proliferation
      1 GO:2000217	regulation of invasive growth in response to glucose limitation
      1 GO:2000218	negative regulation of invasive growth in response to glucose limitation
      1 GO:2000220	regulation of pseudohyphal growth
      1 GO:2000221	negative regulation of pseudohyphal growth
      1 GO:2000232	regulation of rRNA processing
      1 GO:2000234	positive regulation of rRNA processing
      1 GO:2000269	regulation of fibroblast apoptotic process
      1 GO:2000331	regulation of terminal button organization
      1 GO:2000369	regulation of clathrin-dependent endocytosis
      1 GO:2000370	positive regulation of clathrin-dependent endocytosis
      1 GO:2000377	regulation of reactive oxygen species metabolic process
      1 GO:2000379	positive regulation of reactive oxygen species metabolic process
      1 GO:2000434	regulation of protein neddylation
      1 GO:2000435	negative regulation of protein neddylation
      1 GO:2000757	negative regulation of peptidyl-lysine acetylation
      1 GO:2000758	positive regulation of peptidyl-lysine acetylation
      1 GO:2000769	regulation of establishment or maintenance of cell polarity regulating cell shape
      1 GO:2000785	regulation of autophagosome assembly
      1 GO:2000831	regulation of steroid hormone secretion
      1 GO:2001020	regulation of response to DNA damage stimulus
      1 GO:2001056	positive regulation of cysteine-type endopeptidase activity
      1 GO:2001159	regulation of protein localization by the Cvt pathway
      1 GO:2001169	regulation of ATP biosynthetic process
      1 GO:2001171	positive regulation of ATP biosynthetic process
      1 GO:2001235	positive regulation of apoptotic signaling pathway
      1 GO:2001236	regulation of extrinsic apoptotic signaling pathway
      1 GO:2001237	negative regulation of extrinsic apoptotic signaling pathway
      1 GO:2001243	negative regulation of intrinsic apoptotic signaling pathway
      1 GO:2001244	positive regulation of intrinsic apoptotic signaling pathway
      1 GO:2001251	negative regulation of chromosome organization
      2 GO:0000075	cell cycle checkpoint
      2 GO:0000086	G2/M transition of mitotic cell cycle
      2 GO:0000098	sulfur amino acid catabolic process
      2 GO:0000122	negative regulation of transcription by RNA polymerase II
      2 GO:0000149	SNARE binding
      2 GO:0000209	protein polyubiquitination
      2 GO:0000329	fungal-type vacuole membrane
      2 GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      2 GO:0000775	chromosome, centromeric region
      2 GO:0000776	kinetochore
      2 GO:0000792	heterochromatin
      2 GO:0000976	transcription regulatory region sequence-specific DNA binding
      2 GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
      2 GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
      2 GO:0000987	cis-regulatory region sequence-specific DNA binding
      2 GO:0001505	regulation of neurotransmitter levels
      2 GO:0002119	nematode larval development
      2 GO:0002164	larval development
      2 GO:0002251	organ or tissue specific immune response
      2 GO:0002385	mucosal immune response
      2 GO:0002683	negative regulation of immune system process
      2 GO:0003012	muscle system process
      2 GO:0003013	circulatory system process
      2 GO:0003018	vascular process in circulatory system
      2 GO:0003333	amino acid transmembrane transport
      2 GO:0003690	double-stranded DNA binding
      2 GO:0003700	DNA-binding transcription factor activity
      2 GO:0003712	transcription coregulator activity
      2 GO:0003713	transcription coactivator activity
      2 GO:0004222	metalloendopeptidase activity
      2 GO:0004518	nuclease activity
      2 GO:0004519	endonuclease activity
      2 GO:0004620	phospholipase activity
      2 GO:0004683	calmodulin-dependent protein kinase activity
      2 GO:0004806	triglyceride lipase activity
      2 GO:0004842	ubiquitin-protein transferase activity
      2 GO:0005102	signaling receptor binding
      2 GO:0005342	organic acid transmembrane transporter activity
      2 GO:0005507	copper ion binding
      2 GO:0005509	calcium ion binding
      2 GO:0005615	extracellular space
      2 GO:0005758	mitochondrial intermembrane space
      2 GO:0005802	trans-Golgi network
      2 GO:0005813	centrosome
      2 GO:0005874	microtubule
      2 GO:0005887	integral component of plasma membrane
      2 GO:0005911	cell-cell junction
      2 GO:0005933	cellular bud
      2 GO:0005975	carbohydrate metabolic process
      2 GO:0006164	purine nucleotide biosynthetic process
      2 GO:0006260	DNA replication
      2 GO:0006261	DNA-dependent DNA replication
      2 GO:0006302	double-strand break repair
      2 GO:0006304	DNA modification
      2 GO:0006417	regulation of translation
      2 GO:0006479	protein methylation
      2 GO:0006487	protein N-linked glycosylation
      2 GO:0006590	thyroid hormone generation
      2 GO:0006631	fatty acid metabolic process
      2 GO:0006749	glutathione metabolic process
      2 GO:0006760	folic acid-containing compound metabolic process
      2 GO:0006797	polyphosphate metabolic process
      2 GO:0006839	mitochondrial transport
      2 GO:0006855	drug transmembrane transport
      2 GO:0006865	amino acid transport
      2 GO:0006887	exocytosis
      2 GO:0006903	vesicle targeting
      2 GO:0006906	vesicle fusion
      2 GO:0007005	mitochondrion organization
      2 GO:0007017	microtubule-based process
      2 GO:0007264	small GTPase mediated signal transduction
      2 GO:0007276	gamete generation
      2 GO:0007283	spermatogenesis
      2 GO:0007409	axonogenesis
      2 GO:0007411	axon guidance
      2 GO:0007507	heart development
      2 GO:0007568	aging
      2 GO:0007591	molting cycle, chitin-based cuticle
      2 GO:0007593	chitin-based cuticle sclerotization
      2 GO:0007602	phototransduction
      2 GO:0007610	behavior
      2 GO:0007626	locomotory behavior
      2 GO:0008015	blood circulation
      2 GO:0008134	transcription factor binding
      2 GO:0008213	protein alkylation
      2 GO:0008217	regulation of blood pressure
      2 GO:0008237	metallopeptidase activity
      2 GO:0008333	endosome to lysosome transport
      2 GO:0008340	determination of adult lifespan
      2 GO:0008360	regulation of cell shape
      2 GO:0008365	adult chitin-based cuticle development
      2 GO:0008519	ammonium transmembrane transporter activity
      2 GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
      2 GO:0009064	glutamine family amino acid metabolic process
      2 GO:0009069	serine family amino acid metabolic process
      2 GO:0009070	serine family amino acid biosynthetic process
      2 GO:0009084	glutamine family amino acid biosynthetic process
      2 GO:0009092	homoserine metabolic process
      2 GO:0009116	nucleoside metabolic process
      2 GO:0009123	nucleoside monophosphate metabolic process
      2 GO:0009126	purine nucleoside monophosphate metabolic process
      2 GO:0009152	purine ribonucleotide biosynthetic process
      2 GO:0009161	ribonucleoside monophosphate metabolic process
      2 GO:0009167	purine ribonucleoside monophosphate metabolic process
      2 GO:0009266	response to temperature stimulus
      2 GO:0009396	folic acid-containing compound biosynthetic process
      2 GO:0009404	toxin metabolic process
      2 GO:0009506	plasmodesma
      2 GO:0009579	thylakoid
      2 GO:0009583	detection of light stimulus
      2 GO:0009615	response to virus
      2 GO:0009651	response to salt stress
      2 GO:0009658	chloroplast organization
      2 GO:0009755	hormone-mediated signaling pathway
      2 GO:0009793	embryo development ending in seed dormancy
      2 GO:0009895	negative regulation of catabolic process
      2 GO:0009931	calcium-dependent protein serine/threonine kinase activity
      2 GO:0010008	endosome membrane
      2 GO:0010020	chloroplast fission
      2 GO:0010039	response to iron ion
      2 GO:0010154	fruit development
      2 GO:0010171	body morphogenesis
      2 GO:0010256	endomembrane system organization
      2 GO:0010259	multicellular organism aging
      2 GO:0010389	regulation of G2/M transition of mitotic cell cycle
      2 GO:0010508	positive regulation of autophagy
      2 GO:0010608	posttranscriptional regulation of gene expression
      2 GO:0010660	regulation of muscle cell apoptotic process
      2 GO:0010821	regulation of mitochondrion organization
      2 GO:0010857	calcium-dependent protein kinase activity
      2 GO:0010975	regulation of neuron projection development
      2 GO:0012506	vesicle membrane
      2 GO:0014013	regulation of gliogenesis
      2 GO:0015171	amino acid transmembrane transporter activity
      2 GO:0015179	L-amino acid transmembrane transporter activity
      2 GO:0015291	secondary active transmembrane transporter activity
      2 GO:0015696	ammonium transport
      2 GO:0015807	L-amino acid transport
      2 GO:0015849	organic acid transport
      2 GO:0015893	drug transport
      2 GO:0015931	nucleobase-containing compound transport
      2 GO:0016174	NAD(P)H oxidase H2O2-forming activity
      2 GO:0016236	macroautophagy
      2 GO:0016239	positive regulation of macroautophagy
      2 GO:0016311	dephosphorylation
      2 GO:0016324	apical plasma membrane
      2 GO:0016409	palmitoyltransferase activity
      2 GO:0016417	S-acyltransferase activity
      2 GO:0016458	gene silencing
      2 GO:0016485	protein processing
      2 GO:0016571	histone methylation
      2 GO:0016604	nuclear body
      2 GO:0016651	oxidoreductase activity, acting on NAD(P)H
      2 GO:0016667	oxidoreductase activity, acting on a sulfur group of donors
      2 GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
      2 GO:0016746	transferase activity, transferring acyl groups
      2 GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
      2 GO:0016758	transferase activity, transferring hexosyl groups
      2 GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
      2 GO:0016791	phosphatase activity
      2 GO:0016829	lyase activity
      2 GO:0016846	carbon-sulfur lyase activity
      2 GO:0016853	isomerase activity
      2 GO:0016874	ligase activity
      2 GO:0016887	ATPase activity
      2 GO:0017016	Ras GTPase binding
      2 GO:0017111	nucleoside-triphosphatase activity
      2 GO:0017137	Rab GTPase binding
      2 GO:0018022	peptidyl-lysine methylation
      2 GO:0018149	peptide cross-linking
      2 GO:0018996	molting cycle, collagen and cuticulin-based cuticle
      2 GO:0019706	protein-cysteine S-palmitoyltransferase activity
      2 GO:0019707	protein-cysteine S-acyltransferase activity
      2 GO:0019725	cellular homeostasis
      2 GO:0019748	secondary metabolic process
      2 GO:0021549	cerebellum development
      2 GO:0021700	developmental maturation
      2 GO:0022037	metencephalon development
      2 GO:0022404	molting cycle process
      2 GO:0022406	membrane docking
      2 GO:0022622	root system development
      2 GO:0022804	active transmembrane transporter activity
      2 GO:0030031	cell projection assembly
      2 GO:0030054	cell junction
      2 GO:0030100	regulation of endocytosis
      2 GO:0030111	regulation of Wnt signaling pathway
      2 GO:0030141	secretory granule
      2 GO:0030177	positive regulation of Wnt signaling pathway
      2 GO:0030308	negative regulation of cell growth
      2 GO:0030334	regulation of cell migration
      2 GO:0030335	positive regulation of cell migration
      2 GO:0030425	dendrite
      2 GO:0030433	ubiquitin-dependent ERAD pathway
      2 GO:0030490	maturation of SSU-rRNA
      2 GO:0030659	cytoplasmic vesicle membrane
      2 GO:0030684	preribosome
      2 GO:0030686	90S preribosome
      2 GO:0030902	hindbrain development
      2 GO:0031058	positive regulation of histone modification
      2 GO:0031226	intrinsic component of plasma membrane
      2 GO:0031267	small GTPase binding
      2 GO:0031301	integral component of organelle membrane
      2 GO:0031330	negative regulation of cellular catabolic process
      2 GO:0031334	positive regulation of protein-containing complex assembly
      2 GO:0031344	regulation of cell projection organization
      2 GO:0031347	regulation of defense response
      2 GO:0031396	regulation of protein ubiquitination
      2 GO:0031397	negative regulation of protein ubiquitination
      2 GO:0031970	organelle envelope lumen
      2 GO:0032387	negative regulation of intracellular transport
      2 GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
      2 GO:0032504	multicellular organism reproduction
      2 GO:0032880	regulation of protein localization
