      1 GO:0000002	mitochondrial genome maintenance
      1 GO:1902065	response to L-glutamate
      1 GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
      1 GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
      1 GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:1902275	regulation of chromatin organization
      1 GO:1902410	mitotic cytokinetic process
      1 GO:1902475	L-alpha-amino acid transmembrane transport
      1 GO:1902554	serine/threonine protein kinase complex
      1 GO:1902616	acyl carnitine transmembrane transport
      1 GO:1902749	regulation of cell cycle G2/M phase transition
      1 GO:1902807	negative regulation of cell cycle G1/S phase transition
      1 GO:1902882	regulation of response to oxidative stress
      1 GO:1902883	negative regulation of response to oxidative stress
      1 GO:1902903	regulation of supramolecular fiber organization
      1 GO:1902904	negative regulation of supramolecular fiber organization
      1 GO:1902911	protein kinase complex
      1 GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding
      1 GO:1903026	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding
      1 GO:1903046	meiotic cell cycle process
      1 GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process
      1 GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process
      1 GO:1903146	regulation of autophagy of mitochondrion
      1 GO:1903201	regulation of oxidative stress-induced cell death
      1 GO:1903202	negative regulation of oxidative stress-induced cell death
      1 GO:1903311	regulation of mRNA metabolic process
      1 GO:1903312	negative regulation of mRNA metabolic process
      1 GO:1903338	regulation of cell wall organization or biogenesis
      1 GO:1903352	L-ornithine transmembrane transport
      1 GO:1903363	negative regulation of cellular protein catabolic process
      1 GO:1903364	positive regulation of cellular protein catabolic process
      1 GO:1903400	L-arginine transmembrane transport
      1 GO:1903401	L-lysine transmembrane transport
      1 GO:1903428	positive regulation of reactive oxygen species biosynthetic process
      1 GO:1903513	endoplasmic reticulum to cytosol transport
      1 GO:1903578	regulation of ATP metabolic process
      1 GO:1903649	regulation of cytoplasmic transport
      1 GO:1903650	negative regulation of cytoplasmic transport
      1 GO:1903651	positive regulation of cytoplasmic transport
      1 GO:1903725	regulation of phospholipid metabolic process
      1 GO:1903726	negative regulation of phospholipid metabolic process
      1 GO:1903727	positive regulation of phospholipid metabolic process
      1 GO:1903825	organic acid transmembrane transport
      1 GO:1903826	arginine transmembrane transport
      1 GO:1903827	regulation of cellular protein localization
      1 GO:1903829	positive regulation of cellular protein localization
      1 GO:1904407	positive regulation of nitric oxide metabolic process
      1 GO:1904569	regulation of selenocysteine incorporation
      1 GO:1904571	positive regulation of selenocysteine incorporation
      1 GO:1904666	regulation of ubiquitin protein ligase activity
      1 GO:1904667	negative regulation of ubiquitin protein ligase activity
      1 GO:1904705	regulation of vascular associated smooth muscle cell proliferation
      1 GO:1904706	negative regulation of vascular associated smooth muscle cell proliferation
      1 GO:1904809	regulation of dense core granule transport
      1 GO:1904810	negative regulation of dense core granule transport
      1 GO:1904811	positive regulation of dense core granule transport
      1 GO:1904829	regulation of aortic smooth muscle cell differentiation
      1 GO:1904831	positive regulation of aortic smooth muscle cell differentiation
      1 GO:1905039	carboxylic acid transmembrane transport
      1 GO:1905177	tracheary element differentiation
      1 GO:1905269	positive regulation of chromatin organization
      1 GO:1905368	peptidase complex
      1 GO:1905369	endopeptidase complex
      1 GO:1905392	plant organ morphogenesis
      1 GO:1905459	regulation of vascular associated smooth muscle cell apoptotic process
      1 GO:1905461	positive regulation of vascular associated smooth muscle cell apoptotic process
      1 GO:1905623	positive regulation of leaf development
      1 GO:1905915	regulation of cell differentiation involved in phenotypic switching
      1 GO:1905917	positive regulation of cell differentiation involved in phenotypic switching
      1 GO:1905930	regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching
      1 GO:1905932	positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching
      1 GO:1990112	RQC complex
      1 GO:1990116	ribosome-associated ubiquitin-dependent protein catabolic process
      1 GO:1990167	protein K27-linked deubiquitination
      1 GO:1990168	protein K33-linked deubiquitination
      1 GO:1990314	cellular response to insulin-like growth factor stimulus
      1 GO:1990519	pyrimidine nucleotide import into mitochondrion
      1 GO:1990564	protein polyufmylation
      1 GO:1990575	mitochondrial L-ornithine transmembrane transport
      1 GO:1990592	protein K69-linked ufmylation
      1 GO:1990745	EARP complex
      1 GO:1990778	protein localization to cell periphery
      1 GO:1990822	basic amino acid transmembrane transport
      1 GO:1990823	response to leukemia inhibitory factor
      1 GO:1990830	cellular response to leukemia inhibitory factor
      1 GO:1990837	sequence-specific double-stranded DNA binding
      1 GO:1990948	ubiquitin ligase inhibitor activity
      1 GO:2000024	regulation of leaf development
      1 GO:2000037	regulation of stomatal complex patterning
      1 GO:2000045	regulation of G1/S transition of mitotic cell cycle
      1 GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process
      1 GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process
      1 GO:2000134	negative regulation of G1/S transition of mitotic cell cycle
      1 GO:2000145	regulation of cell motility
      1 GO:2000147	positive regulation of cell motility
      1 GO:2000218	negative regulation of invasive growth in response to glucose limitation
      1 GO:2000220	regulation of pseudohyphal growth
      1 GO:2000221	negative regulation of pseudohyphal growth
      1 GO:2000242	negative regulation of reproductive process
      1 GO:2000269	regulation of fibroblast apoptotic process
      1 GO:2000278	regulation of DNA biosynthetic process
      1 GO:2000279	negative regulation of DNA biosynthetic process
      1 GO:2000379	positive regulation of reactive oxygen species metabolic process
      1 GO:2000434	regulation of protein neddylation
      1 GO:2000435	negative regulation of protein neddylation
      1 GO:2000677	regulation of transcription regulatory region DNA binding
      1 GO:2000678	negative regulation of transcription regulatory region DNA binding
      1 GO:2000756	regulation of peptidyl-lysine acetylation
      1 GO:2000758	positive regulation of peptidyl-lysine acetylation
      1 GO:2000765	regulation of cytoplasmic translation
      1 GO:2001235	positive regulation of apoptotic signaling pathway
      1 GO:2001243	negative regulation of intrinsic apoptotic signaling pathway
      1 GO:2001244	positive regulation of intrinsic apoptotic signaling pathway
      1 GO:2001245	regulation of phosphatidylcholine biosynthetic process
      1 GO:2001247	positive regulation of phosphatidylcholine biosynthetic process
      1 GO:2001252	positive regulation of chromosome organization
      2 GO:0000096	sulfur amino acid metabolic process
      2 GO:0000097	sulfur amino acid biosynthetic process
      2 GO:0000149	SNARE binding
      2 GO:0000151	ubiquitin ligase complex
      2 GO:0000209	protein polyubiquitination
      2 GO:0000281	mitotic cytokinesis
      2 GO:0000322	storage vacuole
      2 GO:0000323	lytic vacuole
      2 GO:0000324	fungal-type vacuole
      2 GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter
      2 GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose
      2 GO:0000433	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose
      2 GO:0000904	cell morphogenesis involved in differentiation
      2 GO:0000910	cytokinesis
      2 GO:0000988	obsolete transcription factor activity, protein binding
      2 GO:0000989	obsolete transcription factor activity, transcription factor binding
      2 GO:0001067	regulatory region nucleic acid binding
      2 GO:0001076	obsolete transcription factor activity, RNA polymerase II transcription factor binding
      2 GO:0001101	response to acid chemical
      2 GO:0001191	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding
      2 GO:0001196	regulation of mating-type specific transcription from RNA polymerase II promoter
      2 GO:0001198	negative regulation of mating-type specific transcription from RNA polymerase II promoter
      2 GO:0001666	response to hypoxia
      2 GO:0001889	liver development
      2 GO:0001932	regulation of protein phosphorylation
      2 GO:0001934	positive regulation of protein phosphorylation
      2 GO:0002683	negative regulation of immune system process
      2 GO:0003700	DNA-binding transcription factor activity
      2 GO:0003729	mRNA binding
      2 GO:0004175	endopeptidase activity
      2 GO:0004222	metalloendopeptidase activity
      2 GO:0004518	nuclease activity
      2 GO:0004540	ribonuclease activity
      2 GO:0004683	calmodulin-dependent protein kinase activity
      2 GO:0004843	thiol-dependent ubiquitin-specific protease activity
      2 GO:0005102	signaling receptor binding
      2 GO:0005507	copper ion binding
      2 GO:0005509	calcium ion binding
      2 GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
      2 GO:0005856	cytoskeleton
      2 GO:0006260	DNA replication
      2 GO:0006261	DNA-dependent DNA replication
      2 GO:0006323	DNA packaging
      2 GO:0006333	chromatin assembly or disassembly
      2 GO:0006338	chromatin remodeling
      2 GO:0006403	RNA localization
      2 GO:0006405	RNA export from nucleus
      2 GO:0006414	translational elongation
      2 GO:0006555	methionine metabolic process
      2 GO:0006611	protein export from nucleus
      2 GO:0006694	steroid biosynthetic process
      2 GO:0006749	glutathione metabolic process
      2 GO:0006753	nucleoside phosphate metabolic process
      2 GO:0006760	folic acid-containing compound metabolic process
      2 GO:0006766	vitamin metabolic process
      2 GO:0006767	water-soluble vitamin metabolic process
      2 GO:0006801	superoxide metabolic process
      2 GO:0006812	cation transport
      2 GO:0006820	anion transport
      2 GO:0006839	mitochondrial transport
      2 GO:0006869	lipid transport
      2 GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
      2 GO:0006892	post-Golgi vesicle-mediated transport
      2 GO:0006913	nucleocytoplasmic transport
      2 GO:0006935	chemotaxis
      2 GO:0006979	response to oxidative stress
      2 GO:0007005	mitochondrion organization
      2 GO:0007010	cytoskeleton organization
      2 GO:0007033	vacuole organization
      2 GO:0007034	vacuolar transport
      2 GO:0007041	lysosomal transport
      2 GO:0007267	cell-cell signaling
      2 GO:0007276	gamete generation
      2 GO:0007283	spermatogenesis
      2 GO:0007417	central nervous system development
      2 GO:0007420	brain development
      2 GO:0007422	peripheral nervous system development
      2 GO:0007530	sex determination
      2 GO:0007531	mating type determination
      2 GO:0007532	regulation of mating-type specific transcription, DNA-templated
      2 GO:0007568	aging
      2 GO:0007610	behavior
      2 GO:0008134	transcription factor binding
      2 GO:0008168	methyltransferase activity
      2 GO:0008202	steroid metabolic process
      2 GO:0008219	cell death
      2 GO:0008234	cysteine-type peptidase activity
      2 GO:0008340	determination of adult lifespan
      2 GO:0008610	lipid biosynthetic process
      2 GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
      2 GO:0009063	cellular amino acid catabolic process
      2 GO:0009064	glutamine family amino acid metabolic process
      2 GO:0009066	aspartate family amino acid metabolic process
      2 GO:0009067	aspartate family amino acid biosynthetic process
      2 GO:0009072	aromatic amino acid family metabolic process
      2 GO:0009084	glutamine family amino acid biosynthetic process
      2 GO:0009086	methionine biosynthetic process
      2 GO:0009092	homoserine metabolic process
      2 GO:0009108	obsolete coenzyme biosynthetic process
      2 GO:0009117	nucleotide metabolic process
      2 GO:0009123	nucleoside monophosphate metabolic process
      2 GO:0009165	nucleotide biosynthetic process
      2 GO:0009266	response to temperature stimulus
      2 GO:0009404	toxin metabolic process
      2 GO:0009409	response to cold
      2 GO:0009451	RNA modification
      2 GO:0009526	plastid envelope
      2 GO:0009611	response to wounding
      2 GO:0009620	response to fungus
      2 GO:0009792	embryo development ending in birth or egg hatching
      2 GO:0009793	embryo development ending in seed dormancy
      2 GO:0009826	unidimensional cell growth
      2 GO:0009887	animal organ morphogenesis
      2 GO:0009896	positive regulation of catabolic process
      2 GO:0009908	flower development
      2 GO:0009931	calcium-dependent protein serine/threonine kinase activity
      2 GO:0009941	chloroplast envelope
      2 GO:0010087	phloem or xylem histogenesis
      2 GO:0010259	multicellular organism aging
      2 GO:0010506	regulation of autophagy
      2 GO:0010565	regulation of cellular ketone metabolic process
      2 GO:0010857	calcium-dependent protein kinase activity
      2 GO:0010876	lipid localization
      2 GO:0010948	negative regulation of cell cycle process
      2 GO:0014070	response to organic cyclic compound
      2 GO:0015711	organic anion transport
      2 GO:0015748	organophosphate ester transport
      2 GO:0015934	large ribosomal subunit
      2 GO:0015935	small ribosomal subunit
      2 GO:0016049	cell growth
      2 GO:0016050	vesicle organization
      2 GO:0016054	organic acid catabolic process
      2 GO:0016197	endosomal transport
      2 GO:0016209	antioxidant activity
      2 GO:0016311	dephosphorylation
      2 GO:0016409	palmitoyltransferase activity
      2 GO:0016417	S-acyltransferase activity
      2 GO:0016462	pyrophosphatase activity
      2 GO:0016574	histone ubiquitination
      2 GO:0016579	protein deubiquitination
      2 GO:0016584	nucleosome positioning
      2 GO:0016604	nuclear body
      2 GO:0016746	transferase activity, transferring acyl groups
      2 GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
      2 GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
      2 GO:0016791	phosphatase activity
      2 GO:0016817	hydrolase activity, acting on acid anhydrides
      2 GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
      2 GO:0016999	antibiotic metabolic process
      2 GO:0017000	antibiotic biosynthetic process
      2 GO:0017053	transcription repressor complex
      2 GO:0018205	peptidyl-lysine modification
      2 GO:0018958	phenol-containing compound metabolic process
      2 GO:0019217	regulation of fatty acid metabolic process
      2 GO:0019221	cytokine-mediated signaling pathway
      2 GO:0019706	protein-cysteine S-palmitoyltransferase activity
      2 GO:0019707	protein-cysteine S-acyltransferase activity
      2 GO:0019748	secondary metabolic process
      2 GO:0019783	ubiquitin-like protein-specific protease activity
      2 GO:0019842	vitamin binding
      2 GO:0022413	reproductive process in single-celled organism
      2 GO:0022622	root system development
      2 GO:0022625	cytosolic large ribosomal subunit
      2 GO:0022627	cytosolic small ribosomal subunit
      2 GO:0022857	transmembrane transporter activity
      2 GO:0030030	cell projection organization
      2 GO:0030036	actin cytoskeleton organization
      2 GO:0030170	pyridoxal phosphate binding
      2 GO:0030234	enzyme regulator activity
      2 GO:0030308	negative regulation of cell growth
      2 GO:0030433	ubiquitin-dependent ERAD pathway
      2 GO:0030587	sorocarp development
      2 GO:0030684	preribosome
      2 GO:0031099	regeneration
      2 GO:0031100	animal organ regeneration
      2 GO:0031175	neuron projection development
      2 GO:0031252	cell leading edge
      2 GO:0031331	positive regulation of cellular catabolic process
      2 GO:0031347	regulation of defense response
      2 GO:0031348	negative regulation of defense response
      2 GO:0031396	regulation of protein ubiquitination
      2 GO:0031397	negative regulation of protein ubiquitination
      2 GO:0031400	negative regulation of protein modification process
      2 GO:0031497	chromatin assembly
      2 GO:0031503	protein-containing complex localization
      2 GO:0031625	ubiquitin protein ligase binding
      2 GO:0031668	cellular response to extracellular stimulus
      2 GO:0031669	cellular response to nutrient levels
      2 GO:0031670	cellular response to nutrient
      2 GO:0032182	ubiquitin-like protein binding
      2 GO:0032259	methylation
      2 GO:0032505	reproduction of a single-celled organism
      2 GO:0032787	monocarboxylic acid metabolic process
      2 GO:0032870	cellular response to hormone stimulus
      2 GO:0032880	regulation of protein localization
      2 GO:0032990	cell part morphogenesis
      2 GO:0033993	response to lipid
      2 GO:0034728	nucleosome organization
      2 GO:0035295	tube development
      2 GO:0035690	cellular response to drug
      2 GO:0035821	modulation of process of other organism
      2 GO:0035950	obsolete regulation of oligopeptide transport by regulation of transcription from RNA polymerase II promoter
      2 GO:0035952	obsolete negative regulation of oligopeptide transport by negative regulation of transcription from RNA polymerase II promoter
      2 GO:0035953	obsolete regulation of dipeptide transport by regulation of transcription from RNA polymerase II promoter
      2 GO:0035955	obsolete negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter
      2 GO:0035966	response to topologically incorrect protein
      2 GO:0035967	cellular response to topologically incorrect protein
      2 GO:0036033	mediator complex binding
      2 GO:0036293	response to decreased oxygen levels
      2 GO:0036477	somatodendritic compartment
      2 GO:0036503	ERAD pathway
      2 GO:0040012	regulation of locomotion
      2 GO:0040017	positive regulation of locomotion
      2 GO:0042147	retrograde transport, endosome to Golgi
      2 GO:0042304	regulation of fatty acid biosynthetic process
      2 GO:0042327	positive regulation of phosphorylation
      2 GO:0042330	taxis
      2 GO:0042391	regulation of membrane potential
      2 GO:0042398	cellular modified amino acid biosynthetic process
      2 GO:0042445	hormone metabolic process
      2 GO:0042554	superoxide anion generation
      2 GO:0042558	pteridine-containing compound metabolic process
      2 GO:0042578	phosphoric ester hydrolase activity
      2 GO:0042592	homeostatic process
      2 GO:0042743	hydrogen peroxide metabolic process
      2 GO:0042788	polysomal ribosome
      2 GO:0042826	histone deacetylase binding
      2 GO:0043021	ribonucleoprotein complex binding
      2 GO:0043025	neuronal cell body
      2 GO:0043044	ATP-dependent chromatin remodeling
      2 GO:0043085	positive regulation of catalytic activity
      2 GO:0043086	negative regulation of catalytic activity
      2 GO:0043130	ubiquitin binding
      2 GO:0043414	macromolecule methylation
      2 GO:0043433	negative regulation of DNA-binding transcription factor activity
      2 GO:0043473	pigmentation
      2 GO:0043486	histone exchange
      2 GO:0043648	dicarboxylic acid metabolic process
      2 GO:0044087	regulation of cellular component biogenesis
      2 GO:0044255	cellular lipid metabolic process
      2 GO:0044297	cell body
      2 GO:0044389	ubiquitin-like protein ligase binding
      2 GO:0044433	obsolete cytoplasmic vesicle part
      2 GO:0044451	obsolete nucleoplasm part
      2 GO:0044459	obsolete plasma membrane part
      2 GO:0045013	carbon catabolite repression of transcription
      2 GO:0045014	carbon catabolite repression of transcription by glucose
      2 GO:0045088	regulation of innate immune response
      2 GO:0045165	cell fate commitment
      2 GO:0045596	negative regulation of cell differentiation
      2 GO:0045786	negative regulation of cell cycle
      2 GO:0045894	negative regulation of mating-type specific transcription, DNA-templated
      2 GO:0045990	carbon catabolite regulation of transcription
      2 GO:0046015	regulation of transcription by glucose
      2 GO:0046395	carboxylic acid catabolic process
      2 GO:0046486	glycerolipid metabolic process
      2 GO:0046625	sphingolipid binding
      2 GO:0046653	tetrahydrofolate metabolic process
      2 GO:0048046	apoplast
      2 GO:0048066	developmental pigmentation
      2 GO:0048232	male gamete generation
      2 GO:0048364	root development
      2 GO:0048437	floral organ development
      2 GO:0048589	developmental growth
      2 GO:0048646	anatomical structure formation involved in morphogenesis
      2 GO:0048729	tissue morphogenesis
      2 GO:0048732	gland development
      2 GO:0048812	neuron projection morphogenesis
      2 GO:0048827	phyllome development
      2 GO:0048858	cell projection morphogenesis
      2 GO:0048878	chemical homeostasis
      2 GO:0050657	nucleic acid transport
      2 GO:0050658	RNA transport
      2 GO:0050665	hydrogen peroxide biosynthetic process
      2 GO:0050776	regulation of immune response
      2 GO:0050795	regulation of behavior
      2 GO:0050832	defense response to fungus
      2 GO:0051050	positive regulation of transport
      2 GO:0051052	regulation of DNA metabolic process
      2 GO:0051147	regulation of muscle cell differentiation
      2 GO:0051149	positive regulation of muscle cell differentiation
      2 GO:0051150	regulation of smooth muscle cell differentiation
      2 GO:0051152	positive regulation of smooth muscle cell differentiation
      2 GO:0051168	nuclear export
      2 GO:0051169	nuclear transport
      2 GO:0051236	establishment of RNA localization
      2 GO:0051241	negative regulation of multicellular organismal process
      2 GO:0051260	protein homooligomerization
      2 GO:0051262	protein tetramerization
      2 GO:0051289	protein homotetramerization
      2 GO:0051301	cell division
      2 GO:0051348	negative regulation of transferase activity
      2 GO:0051606	detection of stimulus
      2 GO:0051656	establishment of organelle localization
      2 GO:0051703	intraspecies interaction between organisms
      2 GO:0051881	regulation of mitochondrial membrane potential
      2 GO:0055085	transmembrane transport
      2 GO:0055086	nucleobase-containing small molecule metabolic process
      2 GO:0060322	head development
      2 GO:0060341	regulation of cellular localization
      2 GO:0060560	developmental growth involved in morphogenesis
      2 GO:0061008	hepaticobiliary system development
      2 GO:0061024	membrane organization
      2 GO:0061630	ubiquitin protein ligase activity
      2 GO:0061640	cytoskeleton-dependent cytokinesis
      2 GO:0061659	ubiquitin-like protein ligase activity
      2 GO:0061984	catabolite repression
      2 GO:0061985	carbon catabolite repression
      2 GO:0061986	negative regulation of transcription by glucose
      2 GO:0061987	negative regulation of transcription from RNA polymerase II promoter by glucose
      2 GO:0070279	vitamin B6 binding
      2 GO:0070482	response to oxygen levels
      2 GO:0070646	protein modification by small protein removal
      2 GO:0071103	DNA conformation change
      2 GO:0071166	ribonucleoprotein complex localization
      2 GO:0071426	ribonucleoprotein complex export from nucleus
      2 GO:0071495	cellular response to endogenous stimulus
      2 GO:0071496	cellular response to external stimulus
      2 GO:0071824	protein-DNA complex subunit organization
      2 GO:0072364	obsolete regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter
      2 GO:0072593	reactive oxygen species metabolic process
      2 GO:0080025	phosphatidylinositol-3,5-bisphosphate binding
      2 GO:0090087	regulation of peptide transport
      2 GO:0090088	regulation of oligopeptide transport
      2 GO:0090089	regulation of dipeptide transport
      2 GO:0090305	nucleic acid phosphodiester bond hydrolysis
      2 GO:0090501	RNA phosphodiester bond hydrolysis
      2 GO:0090567	reproductive shoot system development
      2 GO:0090698	post-embryonic plant morphogenesis
      2 GO:0090702	non-reproductive fruiting body development
      2 GO:0097237	cellular response to toxic substance
      2 GO:0097367	carbohydrate derivative binding
      2 GO:0098754	detoxification
      2 GO:0098772	molecular function regulator
      2 GO:0098869	cellular oxidant detoxification
      2 GO:0099120	socially cooperative development
      2 GO:0101005	ubiquitinyl hydrolase activity
      2 GO:0120036	plasma membrane bounded cell projection organization
      2 GO:0120039	plasma membrane bounded cell projection morphogenesis
      2 GO:0140030	modification-dependent protein binding
      2 GO:0140053	mitochondrial gene expression
      2 GO:1901264	carbohydrate derivative transport
      2 GO:1901293	nucleoside phosphate biosynthetic process
      2 GO:1901342	regulation of vasculature development
      2 GO:1901616	organic hydroxy compound catabolic process
      2 GO:1901617	organic hydroxy compound biosynthetic process
      2 GO:1901701	cellular response to oxygen-containing compound
      2 GO:1901796	regulation of signal transduction by p53 class mediator
      2 GO:1901987	regulation of cell cycle phase transition
      2 GO:1901990	regulation of mitotic cell cycle phase transition
      2 GO:1902806	regulation of cell cycle G1/S phase transition
      2 GO:1902936	phosphatidylinositol bisphosphate binding
      2 GO:1903320	regulation of protein modification by small protein conjugation or removal
      2 GO:1903321	negative regulation of protein modification by small protein conjugation or removal
      2 GO:1903409	reactive oxygen species biosynthetic process
      2 GO:1903426	regulation of reactive oxygen species biosynthetic process
      2 GO:1904018	positive regulation of vasculature development
      2 GO:1905063	regulation of vascular associated smooth muscle cell differentiation
      2 GO:1905065	positive regulation of vascular associated smooth muscle cell differentiation
      2 GO:1990542	mitochondrial transmembrane transport
      2 GO:1990748	cellular detoxification
      2 GO:2000241	regulation of reproductive process
      2 GO:2000377	regulation of reactive oxygen species metabolic process
      2 GO:2000531	obsolete regulation of fatty acid biosynthetic process by regulation of transcription from RNA polymerase II promoter
      2 GO:2000877	negative regulation of oligopeptide transport
      2 GO:2000879	negative regulation of dipeptide transport
      2 GO:2001020	regulation of response to DNA damage stimulus
      2 GO:2001234	negative regulation of apoptotic signaling pathway
      2 GO:2001242	regulation of intrinsic apoptotic signaling pathway
      3 GO:0000122	negative regulation of transcription by RNA polymerase II
      3 GO:0000139	Golgi membrane
      3 GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
      3 GO:0000278	mitotic cell cycle
      3 GO:0000785	chromatin
      3 GO:0000790	nuclear chromatin
      3 GO:0000956	nuclear-transcribed mRNA catabolic process
      3 GO:0001558	regulation of cell growth
      3 GO:0002181	cytoplasmic translation
      3 GO:0002682	regulation of immune system process
      3 GO:0003735	structural constituent of ribosome
      3 GO:0004842	ubiquitin-protein transferase activity
      3 GO:0005198	structural molecule activity
      3 GO:0005516	calmodulin binding
      3 GO:0005543	phospholipid binding
      3 GO:0005576	extracellular region
      3 GO:0005743	mitochondrial inner membrane
      3 GO:0005774	vacuolar membrane
      3 GO:0005802	trans-Golgi network
      3 GO:0005840	ribosome
      3 GO:0005844	polysome
      3 GO:0006364	rRNA processing
      3 GO:0006402	mRNA catabolic process
      3 GO:0006413	translational initiation
      3 GO:0006605	protein targeting
      3 GO:0006612	protein targeting to membrane
      3 GO:0006613	cotranslational protein targeting to membrane
      3 GO:0006614	SRP-dependent cotranslational protein targeting to membrane
      3 GO:0006629	lipid metabolic process
      3 GO:0006732	obsolete coenzyme metabolic process
      3 GO:0006811	ion transport
      3 GO:0006955	immune response
      3 GO:0007166	cell surface receptor signaling pathway
      3 GO:0007346	regulation of mitotic cell cycle
      3 GO:0008237	metallopeptidase activity
      3 GO:0008270	zinc ion binding
      3 GO:0009069	serine family amino acid metabolic process
      3 GO:0009070	serine family amino acid biosynthetic process
      3 GO:0009615	response to virus
      3 GO:0009651	response to salt stress
      3 GO:0009967	positive regulation of signal transduction
      3 GO:0010038	response to metal ion
      3 GO:0010154	fruit development
      3 GO:0010498	proteasomal protein catabolic process
      3 GO:0010562	positive regulation of phosphorus metabolic process
      3 GO:0010570	regulation of filamentous growth
      3 GO:0010647	positive regulation of cell communication
      3 GO:0010817	regulation of hormone levels
      3 GO:0010942	positive regulation of cell death
      3 GO:0015931	nucleobase-containing compound transport
      3 GO:0016482	cytosolic transport
      3 GO:0016485	protein processing
      3 GO:0016567	protein ubiquitination
      3 GO:0016741	transferase activity, transferring one-carbon groups
      3 GO:0018105	peptidyl-serine phosphorylation
      3 GO:0018209	peptidyl-serine modification
      3 GO:0019216	regulation of lipid metabolic process
      3 GO:0019866	organelle inner membrane
      3 GO:0022603	regulation of anatomical structure morphogenesis
      3 GO:0022626	cytosolic ribosome
      3 GO:0023056	positive regulation of signaling
      3 GO:0030029	actin filament-based process
      3 GO:0030162	regulation of proteolysis
      3 GO:0030182	neuron differentiation
      3 GO:0031401	positive regulation of protein modification process
      3 GO:0032092	positive regulation of protein binding
      3 GO:0032269	negative regulation of cellular protein metabolic process
      3 GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process
      3 GO:0032504	multicellular organism reproduction
      3 GO:0033043	regulation of organelle organization
      3 GO:0034097	response to cytokine
      3 GO:0034250	positive regulation of cellular amide metabolic process
      3 GO:0034470	ncRNA processing
      3 GO:0034622	cellular protein-containing complex assembly
      3 GO:0035091	phosphatidylinositol binding
      3 GO:0040011	locomotion
      3 GO:0042176	regulation of protein catabolic process
      3 GO:0042325	regulation of phosphorylation
      3 GO:0042393	histone binding
      3 GO:0043005	neuron projection
      3 GO:0043065	positive regulation of apoptotic process
      3 GO:0043068	positive regulation of programmed cell death
      3 GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
      3 GO:0043393	regulation of protein binding
      3 GO:0043901	negative regulation of multi-organism process
      3 GO:0044272	sulfur compound biosynthetic process
      3 GO:0044282	small molecule catabolic process
      3 GO:0044391	ribosomal subunit
      3 GO:0044427	obsolete chromosomal part
      3 GO:0044437	obsolete vacuolar part
      3 GO:0044445	obsolete cytosolic part
      3 GO:0044454	obsolete nuclear chromosome part
      3 GO:0044463	obsolete cell projection part
      3 GO:0045047	protein targeting to ER
      3 GO:0045333	cellular respiration
      3 GO:0045471	response to ethanol
      3 GO:0045597	positive regulation of cell differentiation
      3 GO:0045727	positive regulation of translation
      3 GO:0045926	negative regulation of growth
      3 GO:0045937	positive regulation of phosphate metabolic process
      3 GO:0046677	response to antibiotic
      3 GO:0046686	response to cadmium ion
      3 GO:0046890	regulation of lipid biosynthetic process
      3 GO:0048037	obsolete cofactor binding
      3 GO:0048316	seed development
      3 GO:0048367	shoot system development
      3 GO:0048584	positive regulation of response to stimulus
      3 GO:0048609	multicellular organismal reproductive process
      3 GO:0048666	neuron development
      3 GO:0050662	obsolete coenzyme binding
      3 GO:0051051	negative regulation of transport
      3 GO:0051090	regulation of DNA-binding transcription factor activity
      3 GO:0051093	negative regulation of developmental process
      3 GO:0051099	positive regulation of binding
      3 GO:0051248	negative regulation of protein metabolic process
      3 GO:0051259	protein complex oligomerization
      3 GO:0051338	regulation of transferase activity
      3 GO:0051640	organelle localization
      3 GO:0061136	regulation of proteasomal protein catabolic process
      3 GO:0062012	regulation of small molecule metabolic process
      3 GO:0070784	regulation of growth of unicellular organism as a thread of attached cells
