      1 GO:0000019	regulation of mitotic recombination
      2 GO:0015939	pantothenate metabolic process
      2 GO:0015959	diadenosine polyphosphate metabolic process
      2 GO:0016018	cyclosporin A binding
      2 GO:0016036	cellular response to phosphate starvation
      2 GO:0016081	synaptic vesicle docking
      2 GO:0016093	polyprenol metabolic process
      2 GO:0016149	translation release factor activity, codon specific
      2 GO:0016202	regulation of striated muscle tissue development
      2 GO:0016278	lysine N-methyltransferase activity
      2 GO:0016279	protein-lysine N-methyltransferase activity
      2 GO:0016321	female meiosis chromosome segregation
      2 GO:0016328	lateral plasma membrane
      2 GO:0016333	morphogenesis of follicular epithelium
      2 GO:0016459	myosin complex
      2 GO:0016460	myosin II complex
      2 GO:0016558	protein import into peroxisome matrix
      2 GO:0016571	histone methylation
      2 GO:0016578	histone deubiquitination
      2 GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
      2 GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
      2 GO:0016630	protochlorophyllide reductase activity
      2 GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor
      2 GO:0016653	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor
      2 GO:0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors
      2 GO:0016675	oxidoreductase activity, acting on a heme group of donors
      2 GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
      2 GO:0016763	transferase activity, transferring pentosyl groups
      2 GO:0016776	phosphotransferase activity, phosphate group as acceptor
      2 GO:0016783	sulfurtransferase activity
      2 GO:0016812	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
      2 GO:0016831	carboxy-lyase activity
      2 GO:0016846	carbon-sulfur lyase activity
      2 GO:0016877	ligase activity, forming carbon-sulfur bonds
      2 GO:0016879	ligase activity, forming carbon-nitrogen bonds
      2 GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
      2 GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
      2 GO:0016989	sigma factor antagonist activity
      2 GO:0017001	antibiotic catabolic process
      2 GO:0017015	regulation of transforming growth factor beta receptor signaling pathway
      2 GO:0017022	myosin binding
      2 GO:0017086	3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex
      2 GO:0017112	Rab guanyl-nucleotide exchange factor activity
      2 GO:0017134	fibroblast growth factor binding
      2 GO:0017136	NAD-dependent histone deacetylase activity
      2 GO:0017145	stem cell division
      2 GO:0017171	serine hydrolase activity
      2 GO:0017182	peptidyl-diphthamide metabolic process
      2 GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine
      2 GO:0017196	N-terminal peptidyl-methionine acetylation
      2 GO:0018108	peptidyl-tyrosine phosphorylation
      2 GO:0018200	peptidyl-glutamic acid modification
      2 GO:0018202	peptidyl-histidine modification
      2 GO:0018212	peptidyl-tyrosine modification
      2 GO:0018444	translation release factor complex
      2 GO:0018454	acetoacetyl-CoA reductase activity
      2 GO:0018958	phenol-containing compound metabolic process
      2 GO:0019098	reproductive behavior
      2 GO:0019200	carbohydrate kinase activity
      2 GO:0019205	nucleobase-containing compound kinase activity
      2 GO:0019213	deacetylase activity
      2 GO:0019221	cytokine-mediated signaling pathway
      2 GO:0019239	deaminase activity
      2 GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
      2 GO:0019348	dolichol metabolic process
      2 GO:0019400	alditol metabolic process
      2 GO:0019405	alditol catabolic process
      2 GO:0019563	glycerol catabolic process
      2 GO:0019626	short-chain fatty acid catabolic process
      2 GO:0019676	ammonia assimilation cycle
      2 GO:0019720	Mo-molybdopterin cofactor metabolic process
      2 GO:0019722	calcium-mediated signaling
      2 GO:0019740	nitrogen utilization
      2 GO:0019747	regulation of isoprenoid metabolic process
      2 GO:0019750	chloroplast localization
      2 GO:0019773	proteasome core complex, alpha-subunit complex
      2 GO:0019825	oxygen binding
      2 GO:0019838	growth factor binding
      2 GO:0019852	L-ascorbic acid metabolic process
      2 GO:0019853	L-ascorbic acid biosynthetic process
      2 GO:0019856	pyrimidine nucleobase biosynthetic process
      2 GO:0019894	kinesin binding
      2 GO:0021515	cell differentiation in spinal cord
      2 GO:0021517	ventral spinal cord development
      2 GO:0021522	spinal cord motor neuron differentiation
      2 GO:0021537	telencephalon development
      2 GO:0021538	epithalamus development
      2 GO:0021575	hindbrain morphogenesis
      2 GO:0021587	cerebellum morphogenesis
      2 GO:0021695	cerebellar cortex development
      2 GO:0021782	glial cell development
      2 GO:0021915	neural tube development
      2 GO:0021986	habenula development
      2 GO:0022400	regulation of rhodopsin mediated signaling pathway
      2 GO:0022408	negative regulation of cell-cell adhesion
      2 GO:0022602	ovulation cycle process
      2 GO:0022605	mammalian oogenesis stage
      2 GO:0022843	voltage-gated cation channel activity
      2 GO:0023014	signal transduction by protein phosphorylation
      2 GO:0023058	adaptation of signaling pathway
      2 GO:0030008	TRAPP complex
      2 GO:0030101	natural killer cell activation
      2 GO:0030126	COPI vesicle coat
      2 GO:0030175	filopodium
      2 GO:0030262	apoptotic nuclear changes
      2 GO:0030371	translation repressor activity
      2 GO:0030431	sleep
      2 GO:0030510	regulation of BMP signaling pathway
      2 GO:0030541	plasmid partitioning
      2 GO:0030545	receptor regulator activity
      2 GO:0030582	reproductive fruiting body development
      2 GO:0030584	sporocarp development
      2 GO:0030619	U1 snRNA binding
      2 GO:0030620	U2 snRNA binding
      2 GO:0030663	COPI-coated vesicle membrane
      2 GO:0030703	eggshell formation
      2 GO:0030725	germline ring canal formation
      2 GO:0030726	male germline ring canal formation
      2 GO:0030727	germarium-derived female germ-line cyst formation
      2 GO:0030809	negative regulation of nucleotide biosynthetic process
      2 GO:0030812	negative regulation of nucleotide catabolic process
      2 GO:0030813	positive regulation of nucleotide catabolic process
      2 GO:0030838	positive regulation of actin filament polymerization
      2 GO:0030846	termination of RNA polymerase II transcription, poly(A)-coupled
      2 GO:0030851	granulocyte differentiation
      2 GO:0030952	establishment or maintenance of cytoskeleton polarity
      2 GO:0030955	potassium ion binding
      2 GO:0031023	microtubule organizing center organization
      2 GO:0031033	myosin filament organization
      2 GO:0031055	chromatin remodeling at centromere
      2 GO:0031057	negative regulation of histone modification
      2 GO:0031062	positive regulation of histone methylation
      2 GO:0031134	sister chromatid biorientation
      2 GO:0031154	culmination involved in sorocarp development
      2 GO:0031166	integral component of vacuolar membrane
      2 GO:0031167	rRNA methylation
      2 GO:0031214	biomineral tissue development
      2 GO:0031253	cell projection membrane
      2 GO:0031310	intrinsic component of vacuolar membrane
      2 GO:0031338	regulation of vesicle fusion
      2 GO:0031371	ubiquitin conjugating enzyme complex
      2 GO:0031389	Rad17 RFC-like complex
      2 GO:0031414	N-terminal protein acetyltransferase complex
      2 GO:0031445	regulation of heterochromatin assembly
      2 GO:0031468	nuclear envelope reassembly
      2 GO:0031501	mannosyltransferase complex
      2 GO:0031514	motile cilium
      2 GO:0031519	PcG protein complex
      2 GO:0031536	positive regulation of exit from mitosis
      2 GO:0031618	nuclear pericentric heterochromatin
      2 GO:0031623	receptor internalization
      2 GO:0031638	zymogen activation
      2 GO:0031646	positive regulation of nervous system process
      2 GO:0031648	protein destabilization
      2 GO:0031907	microbody lumen
      2 GO:0031919	vitamin B6 transport
      2 GO:0031921	pyridoxal phosphate transport
      2 GO:0031929	TOR signaling
      2 GO:0031933	obsolete telomeric heterochromatin
      2 GO:0031938	regulation of chromatin silencing at telomere
      2 GO:0031977	thylakoid lumen
      2 GO:0032007	negative regulation of TOR signaling
      2 GO:0032008	positive regulation of TOR signaling
      2 GO:0032036	myosin heavy chain binding
      2 GO:0032094	response to food
      2 GO:0032196	transposition
      2 GO:0032205	negative regulation of telomere maintenance
      2 GO:0032211	negative regulation of telomere maintenance via telomerase
      2 GO:0032212	positive regulation of telomere maintenance via telomerase
      2 GO:0032239	regulation of nucleobase-containing compound transport
      2 GO:0032258	cytoplasm to vacuole transport by the Cvt pathway
      2 GO:0032273	positive regulation of protein polymerization
      2 GO:0032324	molybdopterin cofactor biosynthetic process
      2 GO:0032350	regulation of hormone metabolic process
      2 GO:0032352	positive regulation of hormone metabolic process
      2 GO:0032354	response to follicle-stimulating hormone
      2 GO:0032355	response to estradiol
      2 GO:0032365	intracellular lipid transport
      2 GO:0032413	negative regulation of ion transmembrane transporter activity
      2 GO:0032432	actin filament bundle
      2 GO:0032438	melanosome organization
      2 GO:0032456	endocytic recycling
      2 GO:0032467	positive regulation of cytokinesis
      2 GO:0032481	positive regulation of type I interferon production
      2 GO:0032570	response to progesterone
      2 GO:0032648	regulation of interferon-beta production
      2 GO:0032720	negative regulation of tumor necrosis factor production
      2 GO:0032768	regulation of monooxygenase activity
      2 GO:0032796	uropod organization
      2 GO:0032799	low-density lipoprotein receptor particle metabolic process
      2 GO:0032801	receptor catabolic process
      2 GO:0032802	low-density lipoprotein particle receptor catabolic process
      2 GO:0032875	regulation of DNA endoreduplication
      2 GO:0032933	SREBP signaling pathway
      2 GO:0032944	regulation of mononuclear cell proliferation
      2 GO:0032946	positive regulation of mononuclear cell proliferation
      2 GO:0032954	regulation of cytokinetic process
      2 GO:0033059	cellular pigmentation
      2 GO:0033077	T cell differentiation in thymus
      2 GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
      2 GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway
      2 GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway
      2 GO:0033146	regulation of intracellular estrogen receptor signaling pathway
      2 GO:0033147	negative regulation of intracellular estrogen receptor signaling pathway
      2 GO:0033185	dolichol-phosphate-mannose synthase complex
      2 GO:0033220	ATPase-coupled amide-transporter activity
      2 GO:0033238	regulation of cellular amine metabolic process
      2 GO:0033290	eukaryotic 48S preinitiation complex
      2 GO:0033293	monocarboxylic acid binding
      2 GO:0033298	contractile vacuole organization
      2 GO:0033313	meiotic cell cycle checkpoint
      2 GO:0033316	meiotic spindle assembly checkpoint
      2 GO:0033489	cholesterol biosynthetic process via desmosterol
      2 GO:0033490	cholesterol biosynthetic process via lathosterol
      2 GO:0033503	HULC complex
      2 GO:0033522	histone H2A ubiquitination
      2 GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase
      2 GO:0033555	multicellular organismal response to stress
      2 GO:0033558	protein deacetylase activity
      2 GO:0033592	RNA strand annealing activity
      2 GO:0033962	P-body assembly
      2 GO:0034050	host programmed cell death induced by symbiont
      2 GO:0034103	regulation of tissue remodeling
      2 GO:0034212	peptide N-acetyltransferase activity
      2 GO:0034221	fungal-type cell wall chitin biosynthetic process
      2 GO:0034227	tRNA thio-modification
      2 GO:0034315	regulation of Arp2/3 complex-mediated actin nucleation
      2 GO:0034329	cell junction assembly
      2 GO:0034330	cell junction organization
      2 GO:0034389	lipid droplet organization
      2 GO:0034401	chromatin organization involved in regulation of transcription
      2 GO:0034473	U1 snRNA 3'-end processing
      2 GO:0034476	U5 snRNA 3'-end processing
      2 GO:0034497	protein localization to phagophore assembly site
      2 GO:0034498	early endosome to Golgi transport
      2 GO:0034501	protein localization to kinetochore
      2 GO:0034506	chromosome, centromeric core domain
      2 GO:0034508	centromere complex assembly
      2 GO:0034517	ribophagy
      2 GO:0034612	response to tumor necrosis factor
      2 GO:0034629	cellular protein-containing complex localization
      2 GO:0034635	glutathione transport
      2 GO:0034698	response to gonadotropin
      2 GO:0034755	iron ion transmembrane transport
      2 GO:0034758	positive regulation of iron ion transport
      2 GO:0034759	regulation of iron ion transmembrane transport
      2 GO:0034761	positive regulation of iron ion transmembrane transport
      2 GO:0034775	glutathione transmembrane transport
      2 GO:0034979	NAD-dependent protein deacetylase activity
      2 GO:0035066	positive regulation of histone acetylation
      2 GO:0035067	negative regulation of histone acetylation
      2 GO:0035075	response to ecdysone
      2 GO:0035101	FACT complex
      2 GO:0035103	sterol regulatory element binding protein cleavage
      2 GO:0035145	exon-exon junction complex
      2 GO:0035214	eye-antennal disc development
      2 GO:0035265	organ growth
      2 GO:0035303	regulation of dephosphorylation
      2 GO:0035304	regulation of protein dephosphorylation
      2 GO:0035337	fatty-acyl-CoA metabolic process
      2 GO:0035443	tripeptide transmembrane transport
      2 GO:0035518	histone H2A monoubiquitination
      2 GO:0035520	monoubiquitinated protein deubiquitination
      2 GO:0035567	non-canonical Wnt signaling pathway
      2 GO:0035578	azurophil granule lumen
      2 GO:0035579	specific granule membrane
      2 GO:0035614	snRNA stem-loop binding
      2 GO:0035616	histone H2B conserved C-terminal lysine deubiquitination
      2 GO:0035672	oligopeptide transmembrane transport
      2 GO:0035751	regulation of lysosomal lumen pH
      2 GO:0035914	skeletal muscle cell differentiation
      2 GO:0035950	obsolete regulation of oligopeptide transport by regulation of transcription from RNA polymerase II promoter
      2 GO:0035952	obsolete negative regulation of oligopeptide transport by negative regulation of transcription from RNA polymerase II promoter
      2 GO:0035953	obsolete regulation of dipeptide transport by regulation of transcription from RNA polymerase II promoter
      2 GO:0035955	obsolete negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter
      2 GO:0035973	aggrephagy
      2 GO:0036002	pre-mRNA binding
      2 GO:0036019	endolysosome
      2 GO:0036020	endolysosome membrane
      2 GO:0036080	purine nucleotide-sugar transmembrane transporter activity
      2 GO:0036126	sperm flagellum
      2 GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation
      2 GO:0036177	filamentous growth of a population of unicellular organisms in response to pH
      2 GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH
      2 GO:0036244	cellular response to neutral pH
      2 GO:0036246	phytochelatin 2 import into vacuole
      2 GO:0036249	cadmium ion import into vacuole
      2 GO:0036314	response to sterol
      2 GO:0036353	histone H2A-K119 monoubiquitination
      2 GO:0036455	iron-sulfur transferase activity
      2 GO:0036473	cell death in response to oxidative stress
      2 GO:0036499	PERK-mediated unfolded protein response
      2 GO:0036507	protein demannosylation
      2 GO:0036508	protein alpha-1,2-demannosylation
      2 GO:0036523	induction by symbiont of host cytokine secretion
      2 GO:0039019	pronephric nephron development
      2 GO:0039531	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
      2 GO:0039533	regulation of MDA-5 signaling pathway
      2 GO:0040025	vulval development
      2 GO:0042045	epithelial fluid transport
      2 GO:0042051	compound eye photoreceptor development
      2 GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway
      2 GO:0042069	regulation of catecholamine metabolic process
      2 GO:0042102	positive regulation of T cell proliferation
      2 GO:0042126	nitrate metabolic process
      2 GO:0042129	regulation of T cell proliferation
      2 GO:0042134	rRNA primary transcript binding
      2 GO:0042135	neurotransmitter catabolic process
      2 GO:0042136	neurotransmitter biosynthetic process
      2 GO:0042165	neurotransmitter binding
      2 GO:0042168	heme metabolic process
      2 GO:0042219	cellular modified amino acid catabolic process
      2 GO:0042256	mature ribosome assembly
      2 GO:0042267	natural killer cell mediated cytotoxicity
      2 GO:0042306	regulation of protein import into nucleus
      2 GO:0042307	positive regulation of protein import into nucleus
      2 GO:0042350	GDP-L-fucose biosynthetic process
      2 GO:0042351	'de novo' GDP-L-fucose biosynthetic process
      2 GO:0042407	cristae formation
      2 GO:0042430	indole-containing compound metabolic process
      2 GO:0042461	photoreceptor cell development
      2 GO:0042462	eye photoreceptor cell development
      2 GO:0042471	ear morphogenesis
      2 GO:0042538	hyperosmotic salinity response
      2 GO:0042727	flavin-containing compound biosynthetic process
      2 GO:0042759	long-chain fatty acid biosynthetic process
      2 GO:0042762	regulation of sulfur metabolic process
      2 GO:0042769	DNA damage response, detection of DNA damage
      2 GO:0042776	mitochondrial ATP synthesis coupled proton transport
      2 GO:0042780	tRNA 3'-end processing
      2 GO:0042809	vitamin D receptor binding
      2 GO:0042822	pyridoxal phosphate metabolic process
      2 GO:0042823	pyridoxal phosphate biosynthetic process
      2 GO:0042939	tripeptide transport
      2 GO:0043024	ribosomal small subunit binding
      2 GO:0043029	T cell homeostasis
      2 GO:0043063	intercellular bridge organization
      2 GO:0043139	5'-3' DNA helicase activity
      2 GO:0043153	entrainment of circadian clock by photoperiod
      2 GO:0043200	response to amino acid
      2 GO:0043230	extracellular organelle
      2 GO:0043235	receptor complex
      2 GO:0043320	natural killer cell degranulation
      2 GO:0043335	protein unfolding
      2 GO:0043388	positive regulation of DNA binding
      2 GO:0043406	positive regulation of MAP kinase activity
      2 GO:0043495	protein-membrane adaptor activity
      2 GO:0043496	regulation of protein homodimerization activity
      2 GO:0043525	positive regulation of neuron apoptotic process
      2 GO:0043539	protein serine/threonine kinase activator activity
      2 GO:0043548	phosphatidylinositol 3-kinase binding
      2 GO:0043555	regulation of translation in response to stress
      2 GO:0043558	regulation of translational initiation in response to stress
      2 GO:0043617	cellular response to sucrose starvation
      2 GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress
      2 GO:0043620	regulation of DNA-templated transcription in response to stress
      2 GO:0043649	dicarboxylic acid catabolic process
      2 GO:0043954	cellular component maintenance
      2 GO:0043966	histone H3 acetylation
      2 GO:0044033	multi-organism metabolic process
      2 GO:0044035	multi-organism catabolic process
      2 GO:0044126	obsolete regulation of growth of symbiont in host
      2 GO:0044130	obsolete negative regulation of growth of symbiont in host
      2 GO:0044144	obsolete modulation of growth of symbiont involved in interaction with host
      2 GO:0044146	obsolete negative regulation of growth of symbiont involved in interaction with host
      2 GO:0044232	organelle membrane contact site
      2 GO:0044380	protein localization to cytoskeleton
      2 GO:0044441	obsolete ciliary part
      2 GO:0044604	ATPase-coupled phytochelatin transmembrane transporter activity
      2 GO:0044754	autolysosome
      2 GO:0044779	meiotic spindle checkpoint
      2 GO:0044784	metaphase/anaphase transition of cell cycle
      2 GO:0044788	modulation by host of viral process
      2 GO:0044794	positive regulation by host of viral process
      2 GO:0044805	late nucleophagy
      2 GO:0044818	mitotic G2/M transition checkpoint
      2 GO:0044853	plasma membrane raft
      2 GO:0045013	carbon catabolite repression of transcription
      2 GO:0045014	carbon catabolite repression of transcription by glucose
      2 GO:0045026	plasma membrane fusion
      2 GO:0045039	protein insertion into mitochondrial inner membrane
      2 GO:0045040	protein insertion into mitochondrial outer membrane
      2 GO:0045048	protein insertion into ER membrane
      2 GO:0045053	protein retention in Golgi apparatus
      2 GO:0045138	nematode male tail tip morphogenesis
      2 GO:0045155	electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity
      2 GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity
      2 GO:0045211	postsynaptic membrane
      2 GO:0045259	proton-transporting ATP synthase complex
      2 GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
      2 GO:0045273	respiratory chain complex II
      2 GO:0045275	respiratory chain complex III
      2 GO:0045436	lycopene beta cyclase activity
      2 GO:0045485	omega-6 fatty acid desaturase activity
      2 GO:0045542	positive regulation of cholesterol biosynthetic process
      2 GO:0045580	regulation of T cell differentiation
      2 GO:0045582	positive regulation of T cell differentiation
      2 GO:0045619	regulation of lymphocyte differentiation
      2 GO:0045621	positive regulation of lymphocyte differentiation
      2 GO:0045717	negative regulation of fatty acid biosynthetic process
      2 GO:0045722	positive regulation of gluconeogenesis
      2 GO:0045723	positive regulation of fatty acid biosynthetic process
      2 GO:0045747	positive regulation of Notch signaling pathway
      2 GO:0045820	negative regulation of glycolytic process
      2 GO:0045821	positive regulation of glycolytic process
      2 GO:0045894	negative regulation of mating-type specific transcription, DNA-templated
      2 GO:0045903	positive regulation of translational fidelity
      2 GO:0045922	negative regulation of fatty acid metabolic process
      2 GO:0045947	negative regulation of translational initiation
      2 GO:0045990	carbon catabolite regulation of transcription
      2 GO:0046058	cAMP metabolic process
      2 GO:0046073	dTMP metabolic process
      2 GO:0046078	dUMP metabolic process
      2 GO:0046325	negative regulation of glucose import
      2 GO:0046326	positive regulation of glucose import
      2 GO:0046349	amino sugar biosynthetic process
      2 GO:0046352	disaccharide catabolic process
      2 GO:0046368	GDP-L-fucose metabolic process
      2 GO:0046385	deoxyribose phosphate biosynthetic process
      2 GO:0046429	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
      2 GO:0046439	L-cysteine metabolic process
      2 GO:0046459	short-chain fatty acid metabolic process
      2 GO:0046461	neutral lipid catabolic process
      2 GO:0046464	acylglycerol catabolic process
      2 GO:0046470	phosphatidylcholine metabolic process
      2 GO:0046471	phosphatidylglycerol metabolic process
      2 GO:0046487	glyoxylate metabolic process
      2 GO:0046490	isopentenyl diphosphate metabolic process
      2 GO:0046498	S-adenosylhomocysteine metabolic process
      2 GO:0046503	glycerolipid catabolic process
      2 GO:0046513	ceramide biosynthetic process
      2 GO:0046600	negative regulation of centriole replication
      2 GO:0046606	negative regulation of centrosome cycle
      2 GO:0046607	positive regulation of centrosome cycle
      2 GO:0046618	drug export
      2 GO:0046620	regulation of organ growth
      2 GO:0046626	regulation of insulin receptor signaling pathway
      2 GO:0046634	regulation of alpha-beta T cell activation
      2 GO:0046662	regulation of oviposition
      2 GO:0046688	response to copper ion
      2 GO:0046689	response to mercury ion
      2 GO:0046831	regulation of RNA export from nucleus
      2 GO:0046847	filopodium assembly
      2 GO:0046850	regulation of bone remodeling
      2 GO:0046885	regulation of hormone biosynthetic process
      2 GO:0046886	positive regulation of hormone biosynthetic process
      2 GO:0046931	pore complex assembly
      2 GO:0046949	fatty-acyl-CoA biosynthetic process
      2 GO:0047484	regulation of response to osmotic stress
      2 GO:0047496	vesicle transport along microtubule
      2 GO:0047918	GDP-mannose 3,5-epimerase activity
      2 GO:0048015	phosphatidylinositol-mediated signaling
      2 GO:0048017	inositol lipid-mediated signaling
      2 GO:0048018	receptor ligand activity
      2 GO:0048026	positive regulation of mRNA splicing, via spliceosome
      2 GO:0048027	mRNA 5'-UTR binding
      2 GO:0048038	quinone binding
      2 GO:0048039	ubiquinone binding
      2 GO:0048066	developmental pigmentation
      2 GO:0048103	somatic stem cell division
      2 GO:0048134	germ-line cyst formation
      2 GO:0048135	female germ-line cyst formation
      2 GO:0048137	spermatocyte division
      2 GO:0048138	germ-line cyst encapsulation
      2 GO:0048140	male germ-line cyst encapsulation
      2 GO:0048142	germarium-derived cystoblast division
      2 GO:0048268	clathrin coat assembly
      2 GO:0048437	floral organ development
      2 GO:0048438	floral whorl development
      2 GO:0048443	stamen development
      2 GO:0048466	androecium development
      2 GO:0048508	embryonic meristem development
      2 GO:0048512	circadian behavior
      2 GO:0048527	lateral root development
      2 GO:0048528	post-embryonic root development
      2 GO:0048565	digestive tract development
      2 GO:0048571	long-day photoperiodism
      2 GO:0048581	negative regulation of post-embryonic development
      2 GO:0048593	camera-type eye morphogenesis
      2 GO:0048599	oocyte development
      2 GO:0048634	regulation of muscle organ development
      2 GO:0048704	embryonic skeletal system morphogenesis
      2 GO:0048706	embryonic skeletal system development
      2 GO:0048709	oligodendrocyte differentiation
      2 GO:0048753	pigment granule organization
      2 GO:0048764	trichoblast maturation
      2 GO:0048765	root hair cell differentiation
      2 GO:0048767	root hair elongation
      2 GO:0048793	pronephros development
      2 GO:0048825	cotyledon development
      2 GO:0048829	root cap development
      2 GO:0048864	stem cell development
      2 GO:0050072	m7G(5')pppN diphosphatase activity
      2 GO:0050136	NADH dehydrogenase (quinone) activity
      2 GO:0050183	phosphatidylcholine 12-monooxygenase activity
      2 GO:0050670	regulation of lymphocyte proliferation
      2 GO:0050671	positive regulation of lymphocyte proliferation
      2 GO:0050679	positive regulation of epithelial cell proliferation
      2 GO:0050681	androgen receptor binding
      2 GO:0050688	regulation of defense response to virus
      2 GO:0050707	regulation of cytokine secretion
      2 GO:0050715	positive regulation of cytokine secretion
      2 GO:0050729	positive regulation of inflammatory response
      2 GO:0050766	positive regulation of phagocytosis
      2 GO:0050833	pyruvate transmembrane transporter activity
      2 GO:0050897	cobalt ion binding
      2 GO:0050905	neuromuscular process
      2 GO:0050918	positive chemotaxis
      2 GO:0050921	positive regulation of chemotaxis
      2 GO:0050922	negative regulation of chemotaxis
      2 GO:0050953	sensory perception of light stimulus
      2 GO:0051091	positive regulation of DNA-binding transcription factor activity
      2 GO:0051123	RNA polymerase II preinitiation complex assembly
      2 GO:0051125	regulation of actin nucleation
      2 GO:0051127	positive regulation of actin nucleation
      2 GO:0051139	metal ion:proton antiporter activity
      2 GO:0051149	positive regulation of muscle cell differentiation
      2 GO:0051153	regulation of striated muscle cell differentiation
      2 GO:0051156	glucose 6-phosphate metabolic process
      2 GO:0051176	positive regulation of sulfur metabolic process
      2 GO:0051180	vitamin transport
      2 GO:0051182	obsolete coenzyme transport
      2 GO:0051198	obsolete negative regulation of coenzyme metabolic process
      2 GO:0051213	dioxygenase activity
      2 GO:0051216	cartilage development
      2 GO:0051231	spindle elongation
      2 GO:0051290	protein heterotetramerization
      2 GO:0051294	establishment of spindle orientation
      2 GO:0051306	mitotic sister chromatid separation
      2 GO:0051354	negative regulation of oxidoreductase activity
      2 GO:0051570	regulation of histone H3-K9 methylation
      2 GO:0051571	positive regulation of histone H3-K4 methylation
      2 GO:0051644	plastid localization
      2 GO:0051667	establishment of plastid localization
      2 GO:0051668	localization within membrane
      2 GO:0051693	actin filament capping
      2 GO:0051775	response to redox state
      2 GO:0051930	regulation of sensory perception of pain
      2 GO:0051931	regulation of sensory perception
      2 GO:0051972	regulation of telomerase activity
      2 GO:0051974	negative regulation of telomerase activity
      2 GO:0052002	metabolism by symbiont of substance in host
      2 GO:0052006	catabolism by symbiont of substance in host
      2 GO:0052013	catabolism by symbiont of host macromolecule
      2 GO:0052014	catabolism by symbiont of host protein
      2 GO:0052032	modulation by symbiont of host inflammatory response
      2 GO:0052174	metabolism by symbiont of host macromolecule
      2 GO:0052214	metabolism of substance in other organism involved in symbiotic interaction
      2 GO:0052227	catabolism of substance in other organism involved in symbiotic interaction
      2 GO:0052228	metabolism by symbiont of host protein
      2 GO:0052229	metabolism of macromolecule in other organism involved in symbiotic interaction
      2 GO:0052361	catabolism by organism of macromolecule in other organism involved in symbiotic interaction
      2 GO:0052363	catabolism by organism of protein in other organism involved in symbiotic interaction
      2 GO:0052418	metabolism by organism of protein in other organism involved in symbiotic interaction
      2 GO:0052592	oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor
      2 GO:0055070	copper ion homeostasis
      2 GO:0055089	fatty acid homeostasis
      2 GO:0055090	acylglycerol homeostasis
      2 GO:0055123	digestive system development
      2 GO:0060033	anatomical structure regression
      2 GO:0060065	uterus development
      2 GO:0060071	Wnt signaling pathway, planar cell polarity pathway
      2 GO:0060295	regulation of cilium movement involved in cell motility
      2 GO:0060296	regulation of cilium beat frequency involved in ciliary motility
      2 GO:0060303	regulation of nucleosome density
      2 GO:0060338	regulation of type I interferon-mediated signaling pathway
      2 GO:0060339	negative regulation of type I interferon-mediated signaling pathway
      2 GO:0060393	regulation of pathway-restricted SMAD protein phosphorylation
      2 GO:0060612	adipose tissue development
      2 GO:0060632	regulation of microtubule-based movement
      2 GO:0060759	regulation of response to cytokine stimulus
      2 GO:0060761	negative regulation of response to cytokine stimulus
      2 GO:0060872	semicircular canal development
      2 GO:0060964	regulation of gene silencing by miRNA
      2 GO:0060969	negative regulation of gene silencing
      2 GO:0061065	regulation of dauer larval development
      2 GO:0061351	neural precursor cell proliferation
      2 GO:0061387	regulation of extent of cell growth
      2 GO:0061462	protein localization to lysosome
      2 GO:0061512	protein localization to cilium
      2 GO:0061608	nuclear import signal receptor activity
      2 GO:0061638	CENP-A containing chromatin
      2 GO:0061647	histone H3-K9 modification
      2 GO:0061687	detoxification of inorganic compound
      2 GO:0061984	catabolite repression
      2 GO:0061985	carbon catabolite repression
      2 GO:0061986	negative regulation of transcription by glucose
